author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@BingoStarr12,Puta Az,2025-03-16 22:02:00+00:00,https://nitter.net/BingoStarr12/status/1901393775462928655#m,0,https://nitter.net/AZAlkmaar/status/1901374823554588749,@AZAlkmaar,M071,@AZAlkmaar
@gobinderdath,De hand van Romeyaden redt het feestje van Ajax!,2025-03-17 09:35:00+00:00,https://nitter.net/gobinderdath/status/1901568062978957371#m,0,https://nitter.net/AZAlkmaar/status/1901374823554588749,@AZAlkmaar,M071,@AZAlkmaar
@xo253123,"AZ moet Zico gaan verlengen, mooie goal en op zoveel posities helpt hij het team...Hij mag wel wat meer respect gaan krijgen!",2025-03-16 19:38:00+00:00,https://nitter.net/xo253123/status/1901357394405257427#m,0,https://nitter.net/AZAlkmaar/status/1901354711548063758,@AZAlkmaar,M071,@AZAlkmaar
@Wesleyduve,Jullie zijn echt zoveel beter als dat je zelf beseft...,2025-03-16 19:42:00+00:00,https://nitter.net/Wesleyduve/status/1901358489055928677#m,0,https://nitter.net/AZAlkmaar/status/1901354711548063758,@AZAlkmaar,M071,@AZAlkmaar
@santiag010_,#JeSuisAZ #againstinjustice,2025-03-16 18:22:00+00:00,https://nitter.net/santiag010_/status/1901338234673623542#m,3,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@VurigeVlaar,TROTS OP ONZE JONGENS❤️,2025-03-16 17:56:00+00:00,https://nitter.net/VurigeVlaar/status/1901331877165744237#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@jim_button7,Mooi resultaat tegen 12 man,2025-03-16 17:56:00+00:00,https://nitter.net/jim_button7/status/1901331640514752902#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@yukinarisuga26,Hoe hard kan je genaaid worden. Niet meer normaal dit,2025-03-16 17:57:00+00:00,https://nitter.net/yukinarisuga26/status/1901331893213151263#m,1,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@xo253123,Valt hier helemaal niets aan te doen @KNVB @AZAlkmaar @merijnzeeman? Dit kan je toch niet accepteren? Rood geven voor de bal spelen....,2025-03-16 18:10:00+00:00,https://nitter.net/xo253123/status/1901335335633576362#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@OfficialSpyker,"Prima resultaat, donderdag nog gevoetbald, zij niet.",2025-03-16 17:58:00+00:00,https://nitter.net/OfficialSpyker/status/1901332240442823044#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@Tomas040PSV,Wat zijn jullie genaaid zeg,2025-03-16 18:01:00+00:00,https://nitter.net/Tomas040PSV/status/1901332919550955700#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@jimmy_velzen,Jullie hadden oprecht van het veld moeten stappen…,2025-03-16 18:11:00+00:00,https://nitter.net/jimmy_velzen/status/1901335566442242146#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@KlasseAZ,Sadiq held!,2025-03-16 18:08:00+00:00,https://nitter.net/KlasseAZ/status/1901334744853365038#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@Jack42018508,Zeer duidelijk dat ajax kampioen moet worden. Alles wordt uit de kast gehaald om dat te voltooien,2025-03-16 18:10:00+00:00,https://nitter.net/Jack42018508/status/1901335380944707896#m,1,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@PSneeboer,Higler:”oops I did it again”,2025-03-16 18:12:00+00:00,https://nitter.net/PSneeboer/status/1901335853864996979#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@riq1987,"Ja, we worden genaaid door Higler vandaag. Maar we geven het zelf ook wel armoedig weg. Aanvallend helaas niks vandaag, en verdedigen weer matig bij de tegengoals, net zoals tegen Spurs. Er moet gewoon meer in zitten. Aanvallend missen we wel wat kwaliteit. Parrott is het niet.",2025-03-16 22:17:00+00:00,https://nitter.net/riq1987/status/1901397479959994469#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@GusMarAZ,Higler  is a piece of shit,2025-03-16 17:58:00+00:00,https://nitter.net/GusMarAZ/status/1901332251087929780#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@BasdorpAZ20778,Trots op de spelers vandaag na de interlandbreak hopelijk Mijnans en van Bommel weer terug en vol voor plek 3 gaan en de bekerwinst,2025-03-16 18:12:00+00:00,https://nitter.net/BasdorpAZ20778/status/1901335750865518946#m,0,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
@jahoor0,"Komen jullie goed weg, kan goes niet beter een psychiater opzoeken zwaar gefrustreerd en agressief.",2025-03-16 18:20:00+00:00,https://nitter.net/jahoor0/status/1901337744745320675#m,1,https://nitter.net/AZAlkmaar/status/1901331587473584413,@AZAlkmaar,M071,@AZAlkmaar
