author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@marcokrediet,Met dank aan @KNVB slappe zak Gözübüyük. Een “overtreding” vier acties voor de goal aanleiding laten zijn om een goal af te keuren. Hier gaat de #var niet over. De speler op wie de overtreding werd begaan stond er gewoon weer en deed zijn werk onvoldoende.,2024-11-10 15:29:00+00:00,https://nitter.net/marcokrediet/status/1855633768989548688#m,0,https://nitter.net/GAEagles/status/1855633233351750060,@GAEagles,M036,@GAEagles
@Jonno1971,,2024-11-10 15:56:00+00:00,https://nitter.net/Jonno1971/status/1855640668254683221#m,0,https://nitter.net/GAEagles/status/1855633233351750060,@GAEagles,M036,@GAEagles
@RJBoonstra,Dik en zwaar genaaid!!,2024-11-10 15:42:00+00:00,https://nitter.net/RJBoonstra/status/1855637104102916406#m,0,https://nitter.net/GAEagles/status/1855633233351750060,@GAEagles,M036,@GAEagles
@Jesper_Grn,#VAR wat een schande!ongelovelijk!,2024-11-10 15:36:00+00:00,https://nitter.net/Jesper_Grn/status/1855635675325809104#m,0,https://nitter.net/GAEagles/status/1855633233351750060,@GAEagles,M036,@GAEagles
@pavlos1874,VAR  once again ... deserved a draw today,2024-11-10 21:39:00+00:00,https://nitter.net/pavlos1874/status/1855726980857004133#m,0,https://nitter.net/GAEagles/status/1855633233351750060,@GAEagles,M036,@GAEagles
@BrugginkMathijs,"Zo, wat zijn jullie genaaid….  🫤",2024-11-10 22:13:00+00:00,https://nitter.net/BrugginkMathijs/status/1855735677125886290#m,0,https://nitter.net/GAEagles/status/1855633233351750060,@GAEagles,M036,@GAEagles
@sylvan4425,kan gebeuren,2024-11-11 21:34:00+00:00,https://nitter.net/sylvan4425/status/1856088108489683150#m,0,https://nitter.net/GAEagles/status/1855633233351750060,@GAEagles,M036,@GAEagles
@Jordinho149,"Waarom in paars? Wat is er mis met rood geel, is ook nog beter te zien.",2024-11-10 14:37:00+00:00,https://nitter.net/Jordinho149/status/1855620823949705637#m,0,https://nitter.net/GAEagles/status/1855614196244680957,@GAEagles,M036,@GAEagles
@Rikkie2510,Ff normaal blijven jongs! Gewoon voorbereiding ipv preps,2024-11-10 13:23:00+00:00,https://nitter.net/Rikkie2510/status/1855602276586385521#m,0,https://nitter.net/GAEagles/status/1855601631485730824,@GAEagles,M036,@GAEagles
@HULLE77,🥳🥳🥳 @PaulRoskam,2024-11-10 12:19:00+00:00,https://nitter.net/HULLE77/status/1855585978829660664#m,0,https://nitter.net/GAEagles/status/1855584943851868518,@GAEagles,M036,@GAEagles
@CSuperfrysk,Wolkom Eagles #heegae,2024-11-10 12:05:00+00:00,https://nitter.net/CSuperfrysk/status/1855582438832886079#m,0,https://nitter.net/GAEagles/status/1855581866578841663,@GAEagles,M036,@GAEagles
