author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@Zlajan,,2024-11-03 06:34:00+00:00,https://nitter.net/Zlajan/status/1852962661966786927#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@afcajaxonly,There is even no debate🤷🏼‍♂️,2024-11-03 12:23:00+00:00,https://nitter.net/afcajaxonly/status/1853050367430250584#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@Dennis77446764,😂😂😂😂😂,2024-11-02 21:52:00+00:00,https://nitter.net/Dennis77446764/status/1852831148994392212#m,2,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@ajaxofiel,🤣🤣🤣🤣🤣🤣,2024-11-02 23:38:00+00:00,https://nitter.net/ajaxofiel/status/1852857769491050540#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@sigarenboer2,Beetje domme jongen dit,2024-11-02 23:33:00+00:00,https://nitter.net/sigarenboer2/status/1852856701650604061#m,2,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@WinsAndTies,"Horen te winnen? Horen te winnen? 

Hoor hem dan 😂😂",2024-11-03 12:45:00+00:00,https://nitter.net/WinsAndTies/status/1853055874165608625#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@LocaDiehard,Doe dat dan gvd!!,2024-11-02 21:56:00+00:00,https://nitter.net/LocaDiehard/status/1852832128221753496#m,1,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@MisterBigHere,Zeg dat tegen je ploeggenoten Tillman en Saibari.,2024-11-02 22:52:00+00:00,https://nitter.net/MisterBigHere/status/1852846373210624184#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@BriandeBruijn,🤡,2024-11-02 23:10:00+00:00,https://nitter.net/BriandeBruijn/status/1852850838525644844#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@JertjeNL,Jij Luuk en lang waren de enige vandaag op het veld die oprecht passie en strijd hebben getoond. De rest was allemaal zwaar onvoldoende,2024-11-02 23:59:00+00:00,https://nitter.net/JertjeNL/status/1852863188066308477#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@JZeot,Doe het dan ook.,2024-11-03 00:38:00+00:00,https://nitter.net/JZeot/status/1852873021863715233#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@Chris__Meijer,Beetje jammer dat hij niet toe durft te geven dat Ajax deze wedstrijd gewoon de betere ploeg was!!,2024-11-03 06:49:00+00:00,https://nitter.net/Chris__Meijer/status/1852966324181319895#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@pompompompiedom,Jullie winnen “dit soort wedstrijden” al het hele seizoen niet 😂. Het zit allemaal wat te hoog in de bol,2024-11-03 07:47:00+00:00,https://nitter.net/pompompompiedom/status/1852981014445916247#m,1,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@JCour10201,Nee hoor jullie hebben nog nooit gewonnen van Ajax,2024-11-02 21:52:00+00:00,https://nitter.net/JCour10201/status/1852831146066784333#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@jmavl,Doe het dan!,2024-11-02 21:52:00+00:00,https://nitter.net/jmavl/status/1852831254527287404#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@Kwekkeboom_R,Doe dat dan!,2024-11-02 21:54:00+00:00,https://nitter.net/Kwekkeboom_R/status/1852831553182646759#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@RuudVhv,Wij horen ons niet zo druk te maken bij het uitverdedigen. Kost me gvd 8 jaar van m'n leven.,2024-11-02 22:05:00+00:00,https://nitter.net/RuudVhv/status/1852834422644674992#m,2,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@GodenzoonAMS,Als dat zo zou zijn dan zou je beter moeten spelen. Goedemorgen!,2024-11-03 03:29:00+00:00,https://nitter.net/GodenzoonAMS/status/1852915944546271334#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@Wisse88,"We zouden ook niet zulk domme interviews moeten geven, maar goed...",2024-11-03 07:28:00+00:00,https://nitter.net/Wisse88/status/1852976191189242046#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@WalzySZN,Mag van geluk spreken dat je geen rood had pik,2024-11-03 10:17:00+00:00,https://nitter.net/WalzySZN/status/1853018738313867399#m,0,https://nitter.net/PSV/status/1852830895822012811,@PSV,M029,@PSV
@godentoken,Hij zegt “overklast door Ajax” verkeerd,2024-11-02 20:54:00+00:00,https://nitter.net/godentoken/status/1852816685176373498#m,1,https://nitter.net/PSV/status/1852816457832309206,@PSV,M029,@PSV
@L_S_P,De trainert ook niet,2024-11-02 20:54:00+00:00,https://nitter.net/L_S_P/status/1852816615630336488#m,0,https://nitter.net/PSV/status/1852816457832309206,@PSV,M029,@PSV
