author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@LarssPSV,,2024-10-05 20:15:00+00:00,https://nitter.net/LarssPSV/status/1842659777949671660#m,0,https://nitter.net/SpartaRotterdam/status/1842656190452371644,@SpartaRotterdam,M017,@SpartaRotterdam
@HiddeVriesen,EERDHUIZEN🤡🤡,2024-10-05 20:01:00+00:00,https://nitter.net/HiddeVriesen/status/1842656284954210461#m,1,https://nitter.net/SpartaRotterdam/status/1842656190452371644,@SpartaRotterdam,M017,@SpartaRotterdam
@Spartan_1888,Gvd Mito moet die bal door het net schieten!,2024-10-05 20:01:00+00:00,https://nitter.net/Spartan_1888/status/1842656497647673816#m,0,https://nitter.net/SpartaRotterdam/status/1842656190452371644,@SpartaRotterdam,M017,@SpartaRotterdam
@Caso_NL,Rijsdijk out,2024-10-05 20:11:00+00:00,https://nitter.net/Caso_NL/status/1842658776719266107#m,0,https://nitter.net/SpartaRotterdam/status/1842656190452371644,@SpartaRotterdam,M017,@SpartaRotterdam
@FYTT19012405,Rijsdijk out,2024-10-05 22:02:00+00:00,https://nitter.net/FYTT19012405/status/1842686736251433247#m,0,https://nitter.net/SpartaRotterdam/status/1842656190452371644,@SpartaRotterdam,M017,@SpartaRotterdam
@Jimluca68,"Echt jammer maar trots op de spelers en staf.
Graag deze inzet en spirit elke wedstrijd dan wordt het een mooi seizoen.👍",2024-10-06 08:36:00+00:00,https://nitter.net/Jimluca68/status/1842846319909425504#m,0,https://nitter.net/SpartaRotterdam/status/1842656190452371644,@SpartaRotterdam,M017,@SpartaRotterdam
@LuFalcony,"Mogelijk slim om deze winter Mito te verhuren aan een KKD club zodat hij minuten kan maken en ervaring kan opdoen. 

Lijkt er echt op dat er talent in zit, Maar op deze manier krijgen wij het al bijna een jaar er niet uit.",2024-10-07 13:07:00+00:00,https://nitter.net/LuFalcony/status/1843277053766070626#m,0,https://nitter.net/SpartaRotterdam/status/1842656190452371644,@SpartaRotterdam,M017,@SpartaRotterdam
@Spartan_1888,"Ongelooflijk dat ie zelfs
deze kans niet weet te scoren.",2024-10-05 19:54:00+00:00,https://nitter.net/Spartan_1888/status/1842654655366476277#m,0,https://nitter.net/SpartaRotterdam/status/1842654540186669479,@SpartaRotterdam,M017,@SpartaRotterdam
@FUT_random,Die club van jullie is bizar slecht in 11vs10 man man man,2024-10-05 19:55:00+00:00,https://nitter.net/FUT_random/status/1842654804549747003#m,0,https://nitter.net/SpartaRotterdam/status/1842654540186669479,@SpartaRotterdam,M017,@SpartaRotterdam
@Danny_T1981,Zonder spits?,2024-10-05 18:57:00+00:00,https://nitter.net/Danny_T1981/status/1842640230341292098#m,0,https://nitter.net/SpartaRotterdam/status/1842638093540561117,@SpartaRotterdam,M017,@SpartaRotterdam
@SpartaRotterdam,Wat een heer-lij-ke aanval 🥵,2024-10-05 18:11:00+00:00,https://nitter.net/SpartaRotterdam/status/1842628660232171924#m,0,https://nitter.net/SpartaRotterdam/status/1842628467596149195,@SpartaRotterdam,M017,@SpartaRotterdam
@Spartan_1888,Schitterende aanval en heerlijk afgemaakt. Verdiend op voorsprong.,2024-10-05 18:13:00+00:00,https://nitter.net/Spartan_1888/status/1842629137980149970#m,1,https://nitter.net/SpartaRotterdam/status/1842628467596149195,@SpartaRotterdam,M017,@SpartaRotterdam
