author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@tja_lisa,Ze willen graag weer uit de eredivisie verdwijnen geloof ik.,2024-10-26 16:57:00+00:00,https://nitter.net/tja_lisa/status/1850220299985248461#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@UndernetChara,"Dan verlies je dankzij zo'n eigen goal en met weer zo'n wedstrijdspel. Handhaving zou een makkelijk doel moeten zijn voor onze FC, maar als er op deze manier gespeeld blijft worden, gaat dat nog heel lastig worden.",2024-10-26 17:11:00+00:00,https://nitter.net/UndernetChara/status/1850223721404919808#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@JohnHuisman73,"Weer lekker veel gecreëerd en doelpogingen. Nee, we mogen blij zijn met die topspits die het vertrouwen maar blijft krijgen……",2024-10-26 17:00:00+00:00,https://nitter.net/JohnHuisman73/status/1850221061222056054#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@GeorgeBerkhout,Tja………😪,2024-10-26 17:07:00+00:00,https://nitter.net/GeorgeBerkhout/status/1850222789535637978#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@edwindeuze,Daar gaan we.....,2024-10-26 18:25:00+00:00,https://nitter.net/edwindeuze/status/1850242416147681330#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@adbroere,"Negativiteit helpt ook niet. Misschien is het zo, dat FCG nog op KKD niveau voetbalt, maar er zijn meer eredivisieploegen die dat doen. Handhaven moet mogelijk zijn, zeker als de bravoure van de eerste wedstrijden wordt teruggevonden.",2024-10-27 08:13:00+00:00,https://nitter.net/adbroere/status/1850450751471943921#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@CSuperfrysk,"Netjes buren, lange busreis terug",2024-10-26 17:27:00+00:00,https://nitter.net/CSuperfrysk/status/1850227821471248602#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@HarryLocoMusic,Nait best.....,2024-10-26 22:57:00+00:00,https://nitter.net/HarryLocoMusic/status/1850310927976951828#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@cryptonite050,"NAC en RKC geholpen door een rode kaart, AZ, Feyenoord, Almere city hadden we bij rust met grote(ere) cijfers achter moeten staan maar tegenstanders maken kansen niet af. Wij #fcgroningen mogen nog blij zijn dat we überhaupt punten hebben gehaald! Ik zeg het al lang : selectie 🤮",2024-10-27 09:59:00+00:00,https://nitter.net/cryptonite050/status/1850477295292588251#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@Chili_Me72,"Slappe hap, en je creëert geen kansen. Zorgwekkend",2024-10-27 12:53:00+00:00,https://nitter.net/Chili_Me72/status/1850521184657449433#m,0,https://nitter.net/fcgroningen/status/1850219219800957342,@fcgroningen,M025,@fcgroningen
@Vortex1701,Misschien moet Bacuna maar eens een lange vakantie op de bank hebben,2024-10-26 16:20:00+00:00,https://nitter.net/Vortex1701/status/1850210822817038739#m,1,https://nitter.net/fcgroningen/status/1850209860882665619,@fcgroningen,M025,@fcgroningen
@Erik93069373,Hahaha wat een captain die Bacuna . Geen interview geven . Aanvoerdersband ook maar afnemen .,2024-10-26 16:32:00+00:00,https://nitter.net/Erik93069373/status/1850213927013224545#m,0,https://nitter.net/fcgroningen/status/1850209860882665619,@fcgroningen,M025,@fcgroningen
@RobW1793,"Postema komt handelingssnelheid tekort, maar geen idee wat Oosting en Willumsson hebben misdaan dat ze maar max. 15 minuten mee mogen doen. Bacuna leek wel bewust alles te saboteren vandaag...",2024-10-26 16:32:00+00:00,https://nitter.net/RobW1793/status/1850213902384062730#m,1,https://nitter.net/fcgroningen/status/1850209860882665619,@fcgroningen,M025,@fcgroningen
@Erik93069373,Die Bacuna is de laatste tijd ook niet meer wat het geweest is en dan te laat komen en nou dit weer die eigen goal . Wat bezielt hem . Ook niet meer opstellen . En al je hem ziet bij die eigen goal dan zie je dat hij zijn lach moet inhouden . Waardeloze droeftoeter .,2024-10-26 16:22:00+00:00,https://nitter.net/Erik93069373/status/1850211456614117399#m,1,https://nitter.net/fcgroningen/status/1850209860882665619,@fcgroningen,M025,@fcgroningen
