author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@haarmpie32,Niet alleen deze man… deze club! 💚🤍,2025-02-08 22:08:00+00:00,https://nitter.net/haarmpie32/status/1888349183007953332#m,0,https://nitter.net/fcgroningen/status/1888348211418444188,@fcgroningen,M062,@fcgroningen
@huitsing,💚🤍💚🤍💚🤍,2025-02-08 22:11:00+00:00,https://nitter.net/huitsing/status/1888350023320031585#m,0,https://nitter.net/fcgroningen/status/1888348211418444188,@fcgroningen,M062,@fcgroningen
@huitsing,💚🤍💚🤍💚🤍👏👏👏,2025-02-08 22:40:00+00:00,https://nitter.net/huitsing/status/1888357202949267914#m,0,https://nitter.net/fcgroningen/status/1888342969935347835,@fcgroningen,M062,@fcgroningen
@ErikDijkinga,Bacuna ongelofelijk wat was die slecht.,2025-02-08 21:31:00+00:00,https://nitter.net/ErikDijkinga/status/1888339790405185728#m,2,https://nitter.net/fcgroningen/status/1888338997749092656,@fcgroningen,M062,@fcgroningen
@Piethoane97,"Gestreden als leeuwen na een onterechte rode kaart. Helemaal verdiend, trainer z’n statement met deze basis heeft erg goed uitgepakt!",2025-02-08 21:04:00+00:00,https://nitter.net/Piethoane97/status/1888333098208674142#m,1,https://nitter.net/fcgroningen/status/1888332682712768615,@fcgroningen,M062,@fcgroningen
@InfoMees,Entzinger al gemaild?,2025-02-08 21:14:00+00:00,https://nitter.net/InfoMees/status/1888335678330765781#m,0,https://nitter.net/fcgroningen/status/1888332682712768615,@fcgroningen,M062,@fcgroningen
@O_oDillinger,💚🤍💪,2025-02-08 21:11:00+00:00,https://nitter.net/O_oDillinger/status/1888334879579914618#m,0,https://nitter.net/fcgroningen/status/1888332682712768615,@fcgroningen,M062,@fcgroningen
@huitsing,Forza Fc Grunn 💚🤍💚🤍💚🤍,2025-02-08 22:17:00+00:00,https://nitter.net/huitsing/status/1888351420283257210#m,0,https://nitter.net/fcgroningen/status/1888332682712768615,@fcgroningen,M062,@fcgroningen
@noot_johnny,"Goede overwinning, dun ijs.",2025-02-08 21:25:00+00:00,https://nitter.net/noot_johnny/status/1888338288521388272#m,0,https://nitter.net/fcgroningen/status/1888332682712768615,@fcgroningen,M062,@fcgroningen
@xo253123,"Kwakman mocht wel meer de bal krijgen hoor, maar deed het niet verkeerd (niet alles gezien)",2025-02-09 09:32:00+00:00,https://nitter.net/xo253123/status/1888521365893808602#m,0,https://nitter.net/fcgroningen/status/1888332682712768615,@fcgroningen,M062,@fcgroningen
@ErikDijkinga,BACUNA LUL,2025-02-08 20:24:00+00:00,https://nitter.net/ErikDijkinga/status/1888323012526502016#m,0,https://nitter.net/fcgroningen/status/1888322767914958963,@fcgroningen,M062,@fcgroningen
@ErikDijkinga,Hinderlijk buitenspel,2025-02-08 20:25:00+00:00,https://nitter.net/ErikDijkinga/status/1888323199831855396#m,0,https://nitter.net/fcgroningen/status/1888322767914958963,@fcgroningen,M062,@fcgroningen
@Mandy2571960678,Hou vol. Gaat lekker zo.,2025-02-08 20:10:00+00:00,https://nitter.net/Mandy2571960678/status/1888319484361888050#m,0,https://nitter.net/fcgroningen/status/1888313999093063805,@fcgroningen,M062,@fcgroningen
@Piethoane97,Groningse trots 💚,2025-02-08 19:36:00+00:00,https://nitter.net/Piethoane97/status/1888311007749013961#m,0,https://nitter.net/fcgroningen/status/1888310853511917756,@fcgroningen,M062,@fcgroningen
@Potje77,Snoetjeknovveln 💚🤍,2025-02-08 19:37:00+00:00,https://nitter.net/Potje77/status/1888311231544500387#m,0,https://nitter.net/fcgroningen/status/1888310853511917756,@fcgroningen,M062,@fcgroningen
@GerardvanD050,"Hij wilde het eigenlijk weer alleen doen, zoals hij de hele wedstrijd weer teveel liep te pengelen. Luciano is iets teveel in zichzelf gaan geloven.",2025-02-09 16:30:00+00:00,https://nitter.net/GerardvanD050/status/1888626651207966793#m,0,https://nitter.net/fcgroningen/status/1888310853511917756,@fcgroningen,M062,@fcgroningen
@zijmetdiehonden,@JessDoe77 🙌🏻,2025-02-08 19:33:00+00:00,https://nitter.net/zijmetdiehonden/status/1888310199905042872#m,1,https://nitter.net/fcgroningen/status/1888310021106102432,@fcgroningen,M062,@fcgroningen
@Potje77,Fotootje hoor 💚🤍,2025-02-08 19:10:00+00:00,https://nitter.net/Potje77/status/1888304445374546381#m,0,https://nitter.net/fcgroningen/status/1888303869500747835,@fcgroningen,M062,@fcgroningen
@BertSportel,🤩💚🤍,2025-02-09 00:22:00+00:00,https://nitter.net/BertSportel/status/1888382961189269643#m,0,https://nitter.net/fcgroningen/status/1888303869500747835,@fcgroningen,M062,@fcgroningen
@InsideFCGrunn,EERSTE ⚽️GOAL VOOR Winschoter WOUTER PRiNS💪💪💪,2025-02-08 19:03:00+00:00,https://nitter.net/InsideFCGrunn/status/1888302764377227329#m,0,https://nitter.net/fcgroningen/status/1888302417986371786,@fcgroningen,M062,@fcgroningen
@AZTheBest08,Kwakman 🔥🔥,2025-02-08 17:58:00+00:00,https://nitter.net/AZTheBest08/status/1888286293316047291#m,0,https://nitter.net/fcgroningen/status/1888284931647746270,@fcgroningen,M062,@fcgroningen
@Casperzoethout,Wat brengt emeran wat mortensen niet brengt? Of is hij geblesseerd?,2025-02-08 18:07:00+00:00,https://nitter.net/Casperzoethout/status/1888288506213966249#m,1,https://nitter.net/fcgroningen/status/1888284931647746270,@fcgroningen,M062,@fcgroningen
@Sidnaiyy_,Waarom geen Hove?,2025-02-08 18:12:00+00:00,https://nitter.net/Sidnaiyy_/status/1888289864246059049#m,0,https://nitter.net/fcgroningen/status/1888284931647746270,@fcgroningen,M062,@fcgroningen
@xo253123,Kwakman basis?,2025-02-08 17:26:00+00:00,https://nitter.net/xo253123/status/1888278233298178076#m,1,https://nitter.net/fcgroningen/status/1888266339535507943,@fcgroningen,M062,@fcgroningen
@JessDoe77,"@zijmetdiehonden . Ik zie dat de plannen zijn omgegooid. Dan maar opzoek naar m’n kicksen van 1985, tis naait aans.",2025-02-08 11:59:00+00:00,https://nitter.net/JessDoe77/status/1888195841753538990#m,2,https://nitter.net/fcgroningen/status/1888120579804266605,@fcgroningen,M062,@fcgroningen
@ErikDijkinga,Nou maar hopen 🙏dat het besef er is voor revanche.,2025-02-08 07:12:00+00:00,https://nitter.net/ErikDijkinga/status/1888123611455574460#m,1,https://nitter.net/fcgroningen/status/1888120579804266605,@fcgroningen,M062,@fcgroningen
@JurgenGee,"Dit team heeft een trainer nodig die er niet als een zoutzak bij staat,  maar ze naar de overwinning coacht! De twaalfde man kan dan een extra steun in de rug zijn. Geen beleving op en langs het veld doet ook de moed in de schoenen zakken bij het publiek.

*klaar met de 'tis niet anders', 'het gaat er wel goed om' mentaliteit*

Kop dr veur! 💚🤍 Hup FC

#gronec",2025-02-08 08:35:00+00:00,https://nitter.net/JurgenGee/status/1888144566278078660#m,0,https://nitter.net/fcgroningen/status/1888120579804266605,@fcgroningen,M062,@fcgroningen
@ABMaiga4,💚,2025-02-08 07:59:00+00:00,https://nitter.net/ABMaiga4/status/1888135515037110681#m,0,https://nitter.net/fcgroningen/status/1888120579804266605,@fcgroningen,M062,@fcgroningen
@BetJolly97911,,2025-02-08 08:42:00+00:00,https://nitter.net/BetJolly97911/status/1888146482487820662#m,0,https://nitter.net/fcgroningen/status/1888120579804266605,@fcgroningen,M062,@fcgroningen
