author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@THFCMika,Brouwer onder de lat na de winterstop. Barkas ff weer beetje met zn beentjes op de grond,2024-12-22 17:34:00+00:00,https://nitter.net/THFCMika/status/1870885599797981261#m,0,https://nitter.net/fcutrecht/status/1870858558797164634,@fcutrecht,M047,@fcutrecht
@Skengzy1,Heel slecht weer. Misschien drie jongens die eruitzien alsof ze op het veld willen zijn. De rest is er alleen voor het salaris.,2024-12-22 15:55:00+00:00,https://nitter.net/Skengzy1/status/1870860721980162330#m,1,https://nitter.net/fcutrecht/status/1870858558797164634,@fcutrecht,M047,@fcutrecht
@LekkerFietsen89,"Ik erger me al tijden aan die dooie Griek, tweede seizoenshelft Brouwer onder de lat.",2024-12-22 16:43:00+00:00,https://nitter.net/LekkerFietsen89/status/1870872886900367753#m,0,https://nitter.net/fcutrecht/status/1870858558797164634,@fcutrecht,M047,@fcutrecht
@ZidaneIqbalTeam,❤️🤍,2024-12-22 16:11:00+00:00,https://nitter.net/ZidaneIqbalTeam/status/1870864736813760649#m,0,https://nitter.net/fcutrecht/status/1870858558797164634,@fcutrecht,M047,@fcutrecht
@EJBos1969,👍😂,2024-12-22 16:00:00+00:00,https://nitter.net/EJBos1969/status/1870862076497039399#m,0,https://nitter.net/fcutrecht/status/1870858558797164634,@fcutrecht,M047,@fcutrecht
@AlshryfSdyr,زيدان إقبال لاعب رائع,2024-12-22 19:05:00+00:00,https://nitter.net/AlshryfSdyr/status/1870908552614945197#m,0,https://nitter.net/fcutrecht/status/1870858558797164634,@fcutrecht,M047,@fcutrecht
@VlekkertN,Een super eerste seizoenshelft. Helaas 2 volstrekt onbegrijpelijke wendingen tegen GAE en Fortuna. Jans mag aan de bak💪🏻,2024-12-22 15:49:00+00:00,https://nitter.net/VlekkertN/status/1870859245106659790#m,0,https://nitter.net/fcutrecht/status/1870858558797164634,@fcutrecht,M047,@fcutrecht
@michadrost,Vandaar 2-5? Grote schande… maar ja. Blijft toch je cluppie 💪🏼 #uuuu,2024-12-22 15:50:00+00:00,https://nitter.net/michadrost/status/1870859562506666046#m,0,https://nitter.net/fcutrecht/status/1870853491817926865,@fcutrecht,M047,@fcutrecht
@Dutchmongrel,🤣🤣🤣🤣🤣🤣🤣🤣🤣 weten jullie ook weer waar je staat,2024-12-22 15:27:00+00:00,https://nitter.net/Dutchmongrel/status/1870853649062142134#m,1,https://nitter.net/fcutrecht/status/1870853491817926865,@fcutrecht,M047,@fcutrecht
@kvangeijn,Beschamend,2024-12-22 15:27:00+00:00,https://nitter.net/kvangeijn/status/1870853698076676404#m,0,https://nitter.net/fcutrecht/status/1870853491817926865,@fcutrecht,M047,@fcutrecht
