author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@magielha,Schrijf maar.... We hadden geen zin...,2024-10-05 19:25:00+00:00,https://nitter.net/magielha/status/1842647288172228917#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@Nick__1985,"Julie vergeten een woordje: WEER.

Het was WEER niet goed genoeg 🤬",2024-10-05 19:43:00+00:00,https://nitter.net/Nick__1985/status/1842651755596628170#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@mpeterselst,Laat a.u.b. het woord goed weg! Niets was het woord goed waardig vandaag,2024-10-05 19:38:00+00:00,https://nitter.net/mpeterselst/status/1842650712091623730#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@pieneke68,Zo slecht ........... om te huilen.,2024-10-05 20:45:00+00:00,https://nitter.net/pieneke68/status/1842667391559623018#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@Daplone,Hahaha nee echt ??,2024-10-05 19:22:00+00:00,https://nitter.net/Daplone/status/1842646520782639439#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@Wessel_66,"Inderdaad. Teveel spelers zijn niet goed genoeg om de doelstelling te halen. 
De trainer die niets kan verzinnen tegen een nac waar iedereen kon uittekenen wat ze zouden doen is dat ook niet. Een TD die een cruciale plek van tien niet vervangt is dat ook niet.",2024-10-05 19:28:00+00:00,https://nitter.net/Wessel_66/status/1842648165243289623#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@MikeHighstreets,"Niet goed genoeg?
16e............
Één grote schande ❗",2024-10-05 19:32:00+00:00,https://nitter.net/MikeHighstreets/status/1842649115034792031#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@PatrickWijgers,Schandalige vertoning! Waar train je de hele week voor?? Zo slap en ongeinspireerd! Kan echt niet! #NECNijmegen,2024-10-05 19:43:00+00:00,https://nitter.net/PatrickWijgers/status/1842651903223582805#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@FDiarree,Slappe hap.,2024-10-05 19:46:00+00:00,https://nitter.net/FDiarree/status/1842652624409211033#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@Sjakieeeeeee,11 wijven op het veld vanavond. GA VOETBALLEN!,2024-10-05 19:55:00+00:00,https://nitter.net/Sjakieeeeeee/status/1842654840826077595#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@Nuilerd,,2024-10-06 00:22:00+00:00,https://nitter.net/Nuilerd/status/1842722030514229314#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@frankvanhees,"Het was een schandalige vertoning.

Schaam je kapot!",2024-10-06 12:00:00+00:00,https://nitter.net/frankvanhees/status/1842897599218495744#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@MaurikMick,Zacht uitgedrukt,2024-10-05 19:20:00+00:00,https://nitter.net/MaurikMick/status/1842646101662257260#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@bolle58,Volgend jaar weer tegen Vitesse in de KKD?,2024-10-05 19:23:00+00:00,https://nitter.net/bolle58/status/1842646742589665341#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@__Joepel,Klopt,2024-10-05 20:10:00+00:00,https://nitter.net/__Joepel/status/1842658728006262957#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@tdmjohnny1,Net als de trainer. Als jullie nu nog niet zien dat hij tactisch en op mentaliteit een ramp is zal dit een ramp jaar worden..,2024-10-05 20:30:00+00:00,https://nitter.net/tdmjohnny1/status/1842663577775174128#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@vervaart_dirk,Nu zeker weer bussie opwachten 😂😂,2024-10-05 20:46:00+00:00,https://nitter.net/vervaart_dirk/status/1842667587785629860#m,3,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@Arne8341936,"Hoe is het met de myocarditis van Bas Dost, waarschijnlijk t.g.v. de corona-gifprikken? Mag niet over gesproken worden, hè? Zeker niet nu de GGD ons weer nieuwe gifprikken wil aansmeren.",2024-10-05 20:47:00+00:00,https://nitter.net/Arne8341936/status/1842668038757236868#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@swiffie12,Heerlijk avondje gehad!,2024-10-05 21:37:00+00:00,https://nitter.net/swiffie12/status/1842680648802201998#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
@Edgar28247264,Niet??? Het was weer oud en vertrouwd bagger. Tegen fucking tien man.,2024-10-06 08:17:00+00:00,https://nitter.net/Edgar28247264/status/1842841707118751955#m,0,https://nitter.net/necnijmegen/status/1842645998385905988,@necnijmegen,M016,@necnijmegen
