author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@Pereirapid024,"Ach flikker toch op…
Tot volgende week👍",2025-02-23 16:13:00+00:00,https://nitter.net/Pereirapid024/status/1893695660701986839#m,2,https://nitter.net/necnijmegen/status/1893694403731984562,@necnijmegen,M056,@necnijmegen
@Sjakieeeeeee,De masochist in mij heeft er zin in. Tot volgende week! 🥰 #feynec,2025-02-23 16:20:00+00:00,https://nitter.net/Sjakieeeeeee/status/1893697444220739881#m,0,https://nitter.net/necnijmegen/status/1893694403731984562,@necnijmegen,M056,@necnijmegen
@Wessel_66,Volgende week exact hetzelfde maar dan met een grotere nederlaag.,2025-02-23 16:25:00+00:00,https://nitter.net/Wessel_66/status/1893698732102766607#m,1,https://nitter.net/necnijmegen/status/1893694403731984562,@necnijmegen,M056,@necnijmegen
@EEikhout,"Maar het houdt een keer op, ook bij deze supporters.....#twenec #necnijmegen",2025-02-23 16:12:00+00:00,https://nitter.net/EEikhout/status/1893695480925659268#m,0,https://nitter.net/necnijmegen/status/1893694403731984562,@necnijmegen,M056,@necnijmegen
@Oakes1981Robin,,2025-02-23 16:54:00+00:00,https://nitter.net/Oakes1981Robin/status/1893705962910888408#m,0,https://nitter.net/necnijmegen/status/1893694403731984562,@necnijmegen,M056,@necnijmegen
@Mulananas,"Laat dat clublied maar eens aan de spelers horen, vechten ten alle tijden!",2025-02-23 16:44:00+00:00,https://nitter.net/Mulananas/status/1893703429328978093#m,0,https://nitter.net/necnijmegen/status/1893694403731984562,@necnijmegen,M056,@necnijmegen
@Koen__1900,,2025-02-23 17:46:00+00:00,https://nitter.net/Koen__1900/status/1893718983020310834#m,0,https://nitter.net/necnijmegen/status/1893694403731984562,@necnijmegen,M056,@necnijmegen
@BakkerMarcel024,"Ik neem aan dat het nu echt klaar is met Meijer? Als dat niet zo is, hebben jullie echt maling aan de supporters. Besef wel heel goed dat de supporters de club zijn en niet de zogenaamde beleidsbepalers. 
#tweNEC
#Meijerout
#Aalbersout",2025-02-23 15:34:00+00:00,https://nitter.net/BakkerMarcel024/status/1893685877232087065#m,1,https://nitter.net/necnijmegen/status/1893682554252702067,@necnijmegen,M056,@necnijmegen
@Wessel_66,"Copy paste de volgende weken. Met deze selectie en trainer verlies je alles. 

Alles. 

#degradatie",2025-02-23 15:32:00+00:00,https://nitter.net/Wessel_66/status/1893685382769746293#m,0,https://nitter.net/necnijmegen/status/1893682554252702067,@necnijmegen,M056,@necnijmegen
@Sjakieeeeeee,Opnieuw lopen ze erbij alsof ze net uit de kroeg komen qua scherpte. Eerste de beste vrije trap en bij de 2e paal ligt alles compleet open. Wisselen pas in de 69e minuut ondanks dat we geen fatsoenlijk schot op goal hebben gelost. Enige die volgas kon geven was Linssen. Matig.,2025-02-23 15:54:00+00:00,https://nitter.net/Sjakieeeeeee/status/1893691005720752493#m,1,https://nitter.net/necnijmegen/status/1893682554252702067,@necnijmegen,M056,@necnijmegen
