author,reply,timestamp,reply_url,comments,tweet_url,in_reply_to_user,match_id,team_handle
@Hector22818635,Hahaha wat mooi,2024-11-10 16:59:00+00:00,https://nitter.net/Hector22818635/status/1855656513773420559#m,0,https://nitter.net/scHeerenveen/status/1855654359628988476,@scHeerenveen,M036,@scHeerenveen
@ShelDUN212418,Krijg allemaal de terminale k@nk#r daar in @scHeerenveen,2024-11-10 18:46:00+00:00,https://nitter.net/ShelDUN212418/status/1855683553863815446#m,2,https://nitter.net/scHeerenveen/status/1855654359628988476,@scHeerenveen,M036,@scHeerenveen
@Martin_210592,Zegt ook veel dat het altijd van hem moet komen…. Wordt tijd dat anderen op staan en eens hun niveau gaan halen en laten zien.,2024-11-10 16:43:00+00:00,https://nitter.net/Martin_210592/status/1855652632158740720#m,1,https://nitter.net/scHeerenveen/status/1855652327341875302,@scHeerenveen,M036,@scHeerenveen
@Rooievos,Dat is zacht uitgedrukt.....,2024-11-10 17:07:00+00:00,https://nitter.net/Rooievos/status/1855658593946669088#m,0,https://nitter.net/scHeerenveen/status/1855650742192800025,@scHeerenveen,M036,@scHeerenveen
@sjoerddj55,Nou...,2024-11-10 16:39:00+00:00,https://nitter.net/sjoerddj55/status/1855651406775984303#m,0,https://nitter.net/scHeerenveen/status/1855650742192800025,@scHeerenveen,M036,@scHeerenveen
@Azadi8110,ARJ 😊,2024-11-10 16:41:00+00:00,https://nitter.net/Azadi8110/status/1855652015642144935#m,0,https://nitter.net/scHeerenveen/status/1855650742192800025,@scHeerenveen,M036,@scHeerenveen
@ShelDUN212418,@Persie_Official krijg de k@nk#r en dat islamitische schijtwijf van je helemaal!,2024-11-10 18:47:00+00:00,https://nitter.net/ShelDUN212418/status/1855683803156472302#m,0,https://nitter.net/scHeerenveen/status/1855650742192800025,@scHeerenveen,M036,@scHeerenveen
@MikeGerritsen9,Jezus wat zijn jullie slecht!,2024-11-10 16:14:00+00:00,https://nitter.net/MikeGerritsen9/status/1855645098622497196#m,2,https://nitter.net/scHeerenveen/status/1855643560260886628,@scHeerenveen,M036,@scHeerenveen
@Bkruijt1,,2024-11-10 16:39:00+00:00,https://nitter.net/Bkruijt1/status/1855651556374282632#m,0,https://nitter.net/scHeerenveen/status/1855643560260886628,@scHeerenveen,M036,@scHeerenveen
@Azadi8110,Hoe was ARJ?,2024-11-10 15:31:00+00:00,https://nitter.net/Azadi8110/status/1855634477126414369#m,1,https://nitter.net/scHeerenveen/status/1855633248493220212,@scHeerenveen,M036,@scHeerenveen
@hendrikse_marc,Weten de egels hoe het voelt… #GAEPEC,2024-11-10 15:35:00+00:00,https://nitter.net/hendrikse_marc/status/1855635280406982944#m,0,https://nitter.net/scHeerenveen/status/1855633248493220212,@scHeerenveen,M036,@scHeerenveen
@JaJaItsMeAgain,Bedank de @KNVB maar.,2024-11-10 15:27:00+00:00,https://nitter.net/JaJaItsMeAgain/status/1855633434023993600#m,1,https://nitter.net/scHeerenveen/status/1855633248493220212,@scHeerenveen,M036,@scHeerenveen
@Beanlozy,…,2024-11-10 15:22:00+00:00,https://nitter.net/Beanlozy/status/1855632168820621356#m,0,https://nitter.net/scHeerenveen/status/1855631779849204110,@scHeerenveen,M036,@scHeerenveen
@Martin_210592,"Dikke vette schop na na als je buiten spelers…… ongelofelijk nu al, voor iemand die 2x getraind heeft in weet ik veel hoe veel maanden, ongezien ik blij ben met jahanbaksh",2024-11-10 15:10:00+00:00,https://nitter.net/Martin_210592/status/1855629075282374717#m,1,https://nitter.net/scHeerenveen/status/1855628040409080216,@scHeerenveen,M036,@scHeerenveen
@RenedeJong1975,"Tja, benoem ff zijn prutsbal die deze actie noodzakelijk maakte…",2024-11-10 14:51:00+00:00,https://nitter.net/RenedeJong1975/status/1855624291926102320#m,0,https://nitter.net/scHeerenveen/status/1855623634385072580,@scHeerenveen,M036,@scHeerenveen
@Erik192089,Met een dergelijk middenveld is er te weinig creativiteit en derhalve wordt er te weinig gecreëerd,2024-11-10 14:22:00+00:00,https://nitter.net/Erik192089/status/1855616988673978512#m,0,https://nitter.net/scHeerenveen/status/1855616037011497277,@scHeerenveen,M036,@scHeerenveen
@AggieRobben06,Kom op Ali,2024-11-10 13:50:00+00:00,https://nitter.net/AggieRobben06/status/1855609043970044034#m,0,https://nitter.net/scHeerenveen/status/1855604572804313302,@scHeerenveen,M036,@scHeerenveen
@contentvalue30,"Zucht, Olsson is toch echt de beste speler die we hebben en die moet op de bank plaatsnemen. Brouwers die al een heel seizoen slecht speelt mag maar blijven klungelen. Nu mis je echt voetballend vermogen in je as.",2024-11-10 12:18:00+00:00,https://nitter.net/contentvalue30/status/1855585798982136017#m,0,https://nitter.net/scHeerenveen/status/1855583407209656358,@scHeerenveen,M036,@scHeerenveen
@johanmeijer24,Omdat het vorige week zo goed ging bouwen we verder met dezelfde…,2024-11-10 12:13:00+00:00,https://nitter.net/johanmeijer24/status/1855584683603464404#m,0,https://nitter.net/scHeerenveen/status/1855583407209656358,@scHeerenveen,M036,@scHeerenveen
@FrisianFella,"Deze opstelling liep voor geen meter vorige week, dus dat doen we nog eens dunnetjes over, denkt de trainer blijkbaar. 🤦🏼",2024-11-10 12:21:00+00:00,https://nitter.net/FrisianFella/status/1855586588136206783#m,0,https://nitter.net/scHeerenveen/status/1855583407209656358,@scHeerenveen,M036,@scHeerenveen
@partidazo2604,"RvP snapt er niks van. Olsson beste speler met geldwaarde. Nul creativiteit nu op middenveld. Conde, brouwers, v. Ee, nee Eagles gefeliciteerd met 3 pnt",2024-11-10 13:16:00+00:00,https://nitter.net/partidazo2604/status/1855600328252469497#m,0,https://nitter.net/scHeerenveen/status/1855583407209656358,@scHeerenveen,M036,@scHeerenveen
