author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@jimmy089554,was landry nguemo playing tonight?,2024-09-18 22:44:00+00:00,1,https://nitter.net/FortunaSittard/status/1836467594460606965,https://nitter.net/cscdbc1/status/1836497266409910696#m,@cscdbc1,Was Fernando playing tonight?,M008_FortunaSittard,@FortunaSittard
@cscdbc1,Left Celtic ages ago ya daft stair falling cunt. 66 was nowhere near enough,2024-09-18 22:49:00+00:00,0,https://nitter.net/FortunaSittard/status/1836467594460606965,https://nitter.net/cscdbc1/status/1836497266409910696#m,@cscdbc1,Was Fernando playing tonight?,M008_FortunaSittard,@FortunaSittard
@JosephC727,"Played the same amount of minutes as Bertie auld, billy McNeil and John huges this year",2024-09-19 09:21:00+00:00,1,https://nitter.net/FortunaSittard/status/1836467594460606965,https://nitter.net/cscdbc1/status/1836497266409910696#m,@cscdbc1,Was Fernando playing tonight?,M008_FortunaSittard,@FortunaSittard
@cscdbc1,"10 20 30 40 50 and more, 66 died but it should have been more",2024-09-19 09:36:00+00:00,1,https://nitter.net/FortunaSittard/status/1836467594460606965,https://nitter.net/cscdbc1/status/1836497266409910696#m,@cscdbc1,Was Fernando playing tonight?,M008_FortunaSittard,@FortunaSittard
@deboag83,"I sure do mate, how are you?",2024-09-19 21:49:00+00:00,1,https://nitter.net/FortunaSittard/status/1836358175823466957,https://nitter.net/ncoast_19th/status/1836411175048786000#m,@ncoast_19th,What have you done with his head or does he really look like that🤔,M008_FortunaSittard,@FortunaSittard
@ncoast_19th,"Aye alright,  tired just now",2024-09-20 04:54:00+00:00,0,https://nitter.net/FortunaSittard/status/1836358175823466957,https://nitter.net/ncoast_19th/status/1836411175048786000#m,@ncoast_19th,What have you done with his head or does he really look like that🤔,M008_FortunaSittard,@FortunaSittard
@biff_tannen_1,"This is taking a weird obsession to another level pal, I am sure even your own are laughing at you commenting on this.",2024-09-18 15:58:00+00:00,0,https://nitter.net/FortunaSittard/status/1836358175823466957,https://nitter.net/ncoast_19th/status/1836411175048786000#m,@ncoast_19th,What have you done with his head or does he really look like that🤔,M008_FortunaSittard,@FortunaSittard
@Tamandua046,You’re taking silliness to a different level 🤡,2024-09-18 22:16:00+00:00,0,https://nitter.net/FortunaSittard/status/1836358175823466957,https://nitter.net/cscdbc1/status/1836481288116793605#m,@cscdbc1,Do you get a free wheelchair with every purchase?,M008_FortunaSittard,@FortunaSittard
@Tweet2Tijn,Ik zou bijna zeggen dat iets anders niet is toegestaan.,2024-09-18 11:29:00+00:00,0,https://nitter.net/FortunaSittard/status/1836325595740766675,https://nitter.net/Real_RvP/status/1836363294870798555#m,@Real_RvP,Tuurlijk met ricksen 2 erop,M008_FortunaSittard,@FortunaSittard
@TheNoobForSoup,"Mooi shirt, mooie mededeling, maar de webshop blijft crashen😅",2024-09-18 07:47:00+00:00,0,https://nitter.net/FortunaSittard/status/1836301290105688312,https://nitter.net/FortunaSittard/status/1836301290105688312#m,@FortunaSittard,"Lees alles over het speciale Ricksen tenue.👇

fortunasittard.nl/nieuws/for…",M008_FortunaSittard,@FortunaSittard
@mauricewaalboer,Prachtig mooi 💚💛⚽️,2024-09-18 07:58:00+00:00,0,https://nitter.net/FortunaSittard/status/1836301290105688312,https://nitter.net/FortunaSittard/status/1836301290105688312#m,@FortunaSittard,"Lees alles over het speciale Ricksen tenue.👇

fortunasittard.nl/nieuws/for…",M008_FortunaSittard,@FortunaSittard
@RonaldVeld,Vanavond ook te koop in het uitvak?,2024-09-18 08:13:00+00:00,0,https://nitter.net/FortunaSittard/status/1836301290105688312,https://nitter.net/FortunaSittard/status/1836301290105688312#m,@FortunaSittard,"Lees alles over het speciale Ricksen tenue.👇

fortunasittard.nl/nieuws/for…",M008_FortunaSittard,@FortunaSittard
@djelroymusic,Respect! 💚💛,2024-09-18 17:52:00+00:00,0,https://nitter.net/FortunaSittard/status/1836301290105688312,https://nitter.net/FortunaSittard/status/1836301290105688312#m,@FortunaSittard,"Lees alles over het speciale Ricksen tenue.👇

fortunasittard.nl/nieuws/for…",M008_FortunaSittard,@FortunaSittard
@TheNoobForSoup,"Mooi shirt, mooie mededeling, maar de webshop blijft crashen😅",2024-09-18 07:47:00+00:00,0,https://nitter.net/FortunaSittard/status/1836299305872687476,https://nitter.net/FortunaSittard/status/1836301290105688312#m,@FortunaSittard,"Lees alles over het speciale Ricksen tenue.👇

fortunasittard.nl/nieuws/for…",M008_FortunaSittard,@FortunaSittard
@mauricewaalboer,Prachtig mooi 💚💛⚽️,2024-09-18 07:58:00+00:00,0,https://nitter.net/FortunaSittard/status/1836299305872687476,https://nitter.net/FortunaSittard/status/1836301290105688312#m,@FortunaSittard,"Lees alles over het speciale Ricksen tenue.👇

fortunasittard.nl/nieuws/for…",M008_FortunaSittard,@FortunaSittard
@RonaldVeld,Vanavond ook te koop in het uitvak?,2024-09-18 08:13:00+00:00,0,https://nitter.net/FortunaSittard/status/1836299305872687476,https://nitter.net/FortunaSittard/status/1836301290105688312#m,@FortunaSittard,"Lees alles over het speciale Ricksen tenue.👇

fortunasittard.nl/nieuws/for…",M008_FortunaSittard,@FortunaSittard
@djelroymusic,Respect! 💚💛,2024-09-18 17:52:00+00:00,0,https://nitter.net/FortunaSittard/status/1836299305872687476,https://nitter.net/FortunaSittard/status/1836301290105688312#m,@FortunaSittard,"Lees alles over het speciale Ricksen tenue.👇

fortunasittard.nl/nieuws/for…",M008_FortunaSittard,@FortunaSittard
@MartCoenen,More shirts are comming. No worries,2024-09-18 10:07:00+00:00,0,https://nitter.net/FortunaSittard/status/1836299305872687476,https://nitter.net/eccentric_aldo/status/1836342859538014572#m,@eccentric_aldo,Beautiful gesture 💙 top now sold out unfortunately.,M008_FortunaSittard,@FortunaSittard
