author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@FrankPersi98239,No Osman en nadje,2024-11-03 13:24:00+00:00,1,https://nitter.net/Feyenoord/status/1852845248927633621,https://nitter.net/robocopdacolina/status/1852902884146364483#m,@robocopdacolina,"Is this Zepiqueno? He is gonna be a great idol in Rio de Janeiro.

""Dadinho é o caralho! Meu nome agora é Zepiqueno, porra""",M030_Feyenoord,@Feyenoord
@robocopdacolina,Thanks!!,2024-11-03 19:06:00+00:00,0,https://nitter.net/Feyenoord/status/1852845248927633621,https://nitter.net/robocopdacolina/status/1852902884146364483#m,@robocopdacolina,"Is this Zepiqueno? He is gonna be a great idol in Rio de Janeiro.

""Dadinho é o caralho! Meu nome agora é Zepiqueno, porra""",M030_Feyenoord,@Feyenoord
@fryouri1908,No,2024-11-03 08:49:00+00:00,0,https://nitter.net/Feyenoord/status/1852845248927633621,https://nitter.net/robocopdacolina/status/1852902884146364483#m,@robocopdacolina,"Is this Zepiqueno? He is gonna be a great idol in Rio de Janeiro.

""Dadinho é o caralho! Meu nome agora é Zepiqueno, porra""",M030_Feyenoord,@Feyenoord
@RandyVanVoorde1,En ik heb nieuwe stembanden nodig jemig man wat een wedstrijd 🥳🥳🥳🔴⚪️⚫️,2024-11-02 22:04:00+00:00,0,https://nitter.net/Feyenoord/status/1852833884670755116,https://nitter.net/HarmJanHogeboom/status/1852833989435789506#m,@HarmJanHogeboom,Gelukkig heb ik al een pacemaker. Mijn hart blijft het wel doen,M030_Feyenoord,@Feyenoord
@feyenoord_w,De Pogba in kwestie,2024-11-02 22:01:00+00:00,0,https://nitter.net/Feyenoord/status/1852832812866637950,https://nitter.net/feyenoord_w/status/1852832918005317745#m,@feyenoord_w,Nadje de nieuwe Pogba,M030_Feyenoord,@Feyenoord
@FRFC_NUFC,,2024-11-02 23:14:00+00:00,0,https://nitter.net/Feyenoord/status/1852832812866637950,https://nitter.net/levis_redz97/status/1852832989605928979#m,@levis_redz97,Lets gooo🔥,M030_Feyenoord,@Feyenoord
@jaimiefr_,Lekker janken kneus. Iedereen had zich hier vooraf voor getekend in dit blok. 6 winnen en 1 verlies. 🤡,2024-11-02 22:17:00+00:00,1,https://nitter.net/Feyenoord/status/1852832812866637950,https://nitter.net/h_gertjan/status/1852834049347506300#m,@h_gertjan,"Ja leuk hoor, in theorie 6 punten achter Utrecht en Ajax en reëel 8 achter PSV, volgend seizoen weer een kans.",M030_Feyenoord,@Feyenoord
@h_gertjan,"""""Kneus"" aangenaam kennis te maken.",2024-11-02 22:19:00+00:00,0,https://nitter.net/Feyenoord/status/1852832812866637950,https://nitter.net/h_gertjan/status/1852834049347506300#m,@h_gertjan,"Ja leuk hoor, in theorie 6 punten achter Utrecht en Ajax en reëel 8 achter PSV, volgend seizoen weer een kans.",M030_Feyenoord,@Feyenoord
@JohanHoogendijk,Loser.,2024-11-02 22:07:00+00:00,1,https://nitter.net/Feyenoord/status/1852832812866637950,https://nitter.net/h_gertjan/status/1852834049347506300#m,@h_gertjan,"Ja leuk hoor, in theorie 6 punten achter Utrecht en Ajax en reëel 8 achter PSV, volgend seizoen weer een kans.",M030_Feyenoord,@Feyenoord
@h_gertjan,"Na het verlies tegen Ajakkes heb ik me er emotioneel alvast bi neergelegd, kan het altijd nog meevallen.",2024-11-02 22:12:00+00:00,1,https://nitter.net/Feyenoord/status/1852832812866637950,https://nitter.net/h_gertjan/status/1852834049347506300#m,@h_gertjan,"Ja leuk hoor, in theorie 6 punten achter Utrecht en Ajax en reëel 8 achter PSV, volgend seizoen weer een kans.",M030_Feyenoord,@Feyenoord
@AndyMarek99,"Wát een gelul...
😒",2024-11-02 21:56:00+00:00,0,https://nitter.net/Feyenoord/status/1852830677999452471,https://nitter.net/NLBarrels/status/1852831260021842052#m,@NLBarrels,"Als het hier nog gelijk wordt, mag Priske vandaag nog zijn biezen pakken.",M030_Feyenoord,@Feyenoord
@DeKuiptivist,Veel te grote muil weer godverdomme,2024-11-02 21:53:00+00:00,0,https://nitter.net/Feyenoord/status/1852829157639827729,https://nitter.net/DeKuiptivist/status/1852829561475432855#m,@DeKuiptivist,"We gooien een wedstrijd in het slot, wow. Positief verrast 🥰",M030_Feyenoord,@Feyenoord
@DeKuiptivist,"Ene kankerzooi uit Twente eruit en de andere kankerzooi uit Twent er weer in, onbegrijpelijk.",2024-11-02 21:42:00+00:00,0,https://nitter.net/Feyenoord/status/1852828357253058906,https://nitter.net/Feyenoord/status/1852828357253058906#m,@Feyenoord,,M030_Feyenoord,@Feyenoord
@AndyMarek99,"Smal...
🤦🤦🤦",2024-11-02 21:43:00+00:00,0,https://nitter.net/Feyenoord/status/1852828357253058906,https://nitter.net/Feyenoord/status/1852828357253058906#m,@Feyenoord,,M030_Feyenoord,@Feyenoord
@DeKuiptivist,"Ene kankerzooi uit Twente eruit en de andere kankerzooi uit Twent er weer in, onbegrijpelijk.",2024-11-02 21:42:00+00:00,0,https://nitter.net/Feyenoord/status/1852828233173000384,https://nitter.net/Feyenoord/status/1852828357253058906#m,@Feyenoord,,M030_Feyenoord,@Feyenoord
@AndyMarek99,"Smal...
🤦🤦🤦",2024-11-02 21:43:00+00:00,0,https://nitter.net/Feyenoord/status/1852828233173000384,https://nitter.net/Feyenoord/status/1852828357253058906#m,@Feyenoord,,M030_Feyenoord,@Feyenoord
@Sven_Waltersson,Weinig smaken over denk ik man. Paixao moest er wel af. Je had Carranza kunnen laten staan maar kan me voorstellen dat die geen 90 kan.,2024-11-02 21:44:00+00:00,0,https://nitter.net/Feyenoord/status/1852828233173000384,https://nitter.net/DeKuiptivist/status/1852828663474962825#m,@DeKuiptivist,Met 2-1 voor verdedigend wisselen. Oh wat roep je het weer over jezelf af,M030_Feyenoord,@Feyenoord
@fuckASENSII,i hope yall win the league,2024-11-02 21:42:00+00:00,0,https://nitter.net/Feyenoord/status/1852824298571911647,https://nitter.net/Feyenoord_Lad/status/1852824772754964698#m,@Feyenoord_Lad,LETS GOOOOO,M030_Feyenoord,@Feyenoord
@Feyenoord_Lad,Gimmick,2024-11-02 21:34:00+00:00,1,https://nitter.net/Feyenoord/status/1852824298571911647,https://nitter.net/Feyenoord_Lad/status/1852824772754964698#m,@Feyenoord_Lad,LETS GOOOOO,M030_Feyenoord,@Feyenoord
@Dylans274,Hahaha je zou hem dan maar missen,2024-11-02 21:26:00+00:00,1,https://nitter.net/Feyenoord/status/1852824298571911647,https://nitter.net/The_Galactico_/status/1852824424539455796#m,@The_Galactico_,Gelukkig scoort tie want liepen 2 man vrij 😂,M030_Feyenoord,@Feyenoord
@The_Galactico_,😂😂😂,2024-11-02 21:26:00+00:00,0,https://nitter.net/Feyenoord/status/1852824298571911647,https://nitter.net/The_Galactico_/status/1852824424539455796#m,@The_Galactico_,Gelukkig scoort tie want liepen 2 man vrij 😂,M030_Feyenoord,@Feyenoord
@goldeneye1828,"Egoist, kan makkelijk afspelen",2024-11-02 21:38:00+00:00,0,https://nitter.net/Feyenoord/status/1852824298571911647,https://nitter.net/TodayFeyenoord_/status/1852827293174972927#m,@TodayFeyenoord_,🔥,M030_Feyenoord,@Feyenoord
@Loeka0804,Maak daar maar 2 van,2024-11-02 21:25:00+00:00,0,https://nitter.net/Feyenoord/status/1852823606465577288,https://nitter.net/lader24/status/1852823877535351242#m,@lader24,Zerrouki eruit gelijk goal 🔥🔥🔥😭😭😭,M030_Feyenoord,@Feyenoord
@kvaldir,Gelijk twee goals* 😂😭,2024-11-02 21:26:00+00:00,0,https://nitter.net/Feyenoord/status/1852823606465577288,https://nitter.net/lader24/status/1852823877535351242#m,@lader24,Zerrouki eruit gelijk goal 🔥🔥🔥😭😭😭,M030_Feyenoord,@Feyenoord
