author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@RuubELhano,Je moeder😂🤡,2024-11-11 15:40:00+00:00,0,https://nitter.net/scHeerenveen/status/1855654359628988476,https://nitter.net/ShelDUN212418/status/1855683553863815446#m,@ShelDUN212418,Krijg allemaal de terminale k@nk#r daar in @scHeerenveen,M036_scHeerenveen,@scHeerenveen
@FcMilan123,Wat betekend 'k@nk#r' ???,2024-11-10 22:23:00+00:00,0,https://nitter.net/scHeerenveen/status/1855654359628988476,https://nitter.net/ShelDUN212418/status/1855683553863815446#m,@ShelDUN212418,Krijg allemaal de terminale k@nk#r daar in @scHeerenveen,M036_scHeerenveen,@scHeerenveen
@MartenCuperus,Zeker weten. Maar dan moet de trainer de spelers ook op de juiste plek zetten. Wil Smans weleens een tijdje op zijn oude positie zien spelen en dan oordelen. Op 1 helft kan dat niet. Conde erbij en/of Olsson of Brouwers op 8.,2024-11-10 17:43:00+00:00,1,https://nitter.net/scHeerenveen/status/1855652327341875302,https://nitter.net/Martin_210592/status/1855652632158740720#m,@Martin_210592,Zegt ook veel dat het altijd van hem moet komen…. Wordt tijd dat anderen op staan en eens hun niveau gaan halen en laten zien.,M036_scHeerenveen,@scHeerenveen
@Martin_210592,Inderdaad ! Gewoon lekker op 10. Met als toen ik de beker,2024-11-10 18:10:00+00:00,0,https://nitter.net/scHeerenveen/status/1855652327341875302,https://nitter.net/Martin_210592/status/1855652632158740720#m,@Martin_210592,Zegt ook veel dat het altijd van hem moet komen…. Wordt tijd dat anderen op staan en eens hun niveau gaan halen en laten zien.,M036_scHeerenveen,@scHeerenveen
@LakseF1,Hoe slecht zijn jullie dan wel niet,2024-11-10 16:35:00+00:00,1,https://nitter.net/scHeerenveen/status/1855643560260886628,https://nitter.net/MikeGerritsen9/status/1855645098622497196#m,@MikeGerritsen9,Jezus wat zijn jullie slecht!,M036_scHeerenveen,@scHeerenveen
@MikeGerritsen9,Wedstrijd niet gezien babbel?,2024-11-10 16:36:00+00:00,0,https://nitter.net/scHeerenveen/status/1855643560260886628,https://nitter.net/MikeGerritsen9/status/1855645098622497196#m,@MikeGerritsen9,Jezus wat zijn jullie slecht!,M036_scHeerenveen,@scHeerenveen
@RuubELhano,😭🤡,2024-11-10 18:42:00+00:00,0,https://nitter.net/scHeerenveen/status/1855643560260886628,https://nitter.net/MikeGerritsen9/status/1855645098622497196#m,@MikeGerritsen9,Jezus wat zijn jullie slecht!,M036_scHeerenveen,@scHeerenveen
@Hector22818635,"Weinig van gezien aangezien hij weinig minuten maakte en we verdedigend speelden, maar zag er prima uit.",2024-11-10 15:34:00+00:00,1,https://nitter.net/scHeerenveen/status/1855633248493220212,https://nitter.net/Azadi8110/status/1855634477126414369#m,@Azadi8110,Hoe was ARJ?,M036_scHeerenveen,@scHeerenveen
@Azadi8110,Thanks @Hector22818635,2024-11-10 15:55:00+00:00,0,https://nitter.net/scHeerenveen/status/1855633248493220212,https://nitter.net/Azadi8110/status/1855634477126414369#m,@Azadi8110,Hoe was ARJ?,M036_scHeerenveen,@scHeerenveen
@KevinBergsma_,Laat het ons ook eens meezitten! 🥰,2024-11-10 15:30:00+00:00,1,https://nitter.net/scHeerenveen/status/1855633248493220212,https://nitter.net/JaJaItsMeAgain/status/1855633434023993600#m,@JaJaItsMeAgain,Bedank de @KNVB maar.,M036_scHeerenveen,@scHeerenveen
@JaJaItsMeAgain,Ja true! Heb het meer over de VAR en scheids. Gefeliciteerd in iedergeval !!,2024-11-10 15:32:00+00:00,0,https://nitter.net/scHeerenveen/status/1855633248493220212,https://nitter.net/JaJaItsMeAgain/status/1855633434023993600#m,@JaJaItsMeAgain,Bedank de @KNVB maar.,M036_scHeerenveen,@scHeerenveen
@_jack__pot__,"Komt wel wat status binnen met hem, dat zie je meteen…",2024-11-10 15:33:00+00:00,0,https://nitter.net/scHeerenveen/status/1855628040409080216,https://nitter.net/Martin_210592/status/1855629075282374717#m,@Martin_210592,"Dikke vette schop na na als je buiten spelers…… ongelofelijk nu al, voor iemand die 2x getraind heeft in weet ik veel hoe veel maanden, ongezien ik blij ben met jahanbaksh",M036_scHeerenveen,@scHeerenveen
