author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@johannes0492,Die was inderdaad lekker….👌🏼,2024-12-06 23:03:00+00:00,0,https://nitter.net/PSV/status/1865156153396675048,https://nitter.net/Lindaliciousss/status/1865159932993003596#m,@Lindaliciousss,Ledezma!,M039_PSV,@PSV
@Steeeeeeeen1,"Maakt niet uit.
Is volgend seizoen gewoon PSV'er",2024-12-06 22:10:00+00:00,0,https://nitter.net/PSV/status/1865156153396675048,https://nitter.net/Steeeeeeeen1/status/1865156762313064754#m,@Steeeeeeeen1,Ironisch genoeg die van Steijn😅,M039_PSV,@PSV
@Bertus500,Gefeliciteerd met de overwinning.,2024-12-06 22:02:00+00:00,1,https://nitter.net/PSV/status/1865150403010027638,https://nitter.net/Lindaliciousss/status/1865153934077170035#m,@Lindaliciousss,❤️ het was een prachtige goal!,M039_PSV,@PSV
@Lindaliciousss,Dank je wel Bert!,2024-12-06 22:08:00+00:00,0,https://nitter.net/PSV/status/1865150403010027638,https://nitter.net/Lindaliciousss/status/1865153934077170035#m,@Lindaliciousss,❤️ het was een prachtige goal!,M039_PSV,@PSV
@keesjuhhhh,"Schitterend was het , opgeknapt Linda?",2024-12-06 22:03:00+00:00,1,https://nitter.net/PSV/status/1865150403010027638,https://nitter.net/Lindaliciousss/status/1865153934077170035#m,@Lindaliciousss,❤️ het was een prachtige goal!,M039_PSV,@PSV
@MarcelKasteel,,2024-12-06 22:07:00+00:00,1,https://nitter.net/PSV/status/1865150403010027638,https://nitter.net/Lindaliciousss/status/1865153934077170035#m,@Lindaliciousss,❤️ het was een prachtige goal!,M039_PSV,@PSV
@Lindaliciousss,🔴⚪️🥳,2024-12-06 22:09:00+00:00,1,https://nitter.net/PSV/status/1865150403010027638,https://nitter.net/Lindaliciousss/status/1865153934077170035#m,@Lindaliciousss,❤️ het was een prachtige goal!,M039_PSV,@PSV
@pwhengelen,Gefeliciteerd Linda.,2024-12-06 22:18:00+00:00,0,https://nitter.net/PSV/status/1865150403010027638,https://nitter.net/Lindaliciousss/status/1865153934077170035#m,@Lindaliciousss,❤️ het was een prachtige goal!,M039_PSV,@PSV
@yousefinhoo999,Onzin. Stewart krijgt heel veel geld binnen staat ver voor Feyenoord en Ajax. Doorpakken . Wat een slappe houding 🤮,2024-12-06 21:12:00+00:00,1,https://nitter.net/PSV/status/1865140294498287963,https://nitter.net/BVG87/status/1865140789421965747#m,@BVG87,Hier moeten we zo van genieten! Dit is niet vanzelfsprekend en voor je het weet is het voorbij. We leven in een mooie (voetbal) wereld PSVers!,M039_PSV,@PSV
@BVG87,"Weet jij nog waar onze amsterdamse vrienden stonden in 18/19? Halve finale CL, mijlenver voor op de rest. En kijk nu eens. Kijk ons eens tussen 2004-2008. Ooit eindigt een goede periode natuurlijk.",2024-12-06 21:25:00+00:00,0,https://nitter.net/PSV/status/1865140294498287963,https://nitter.net/BVG87/status/1865140789421965747#m,@BVG87,Hier moeten we zo van genieten! Dit is niet vanzelfsprekend en voor je het weet is het voorbij. We leven in een mooie (voetbal) wereld PSVers!,M039_PSV,@PSV
