author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@VurigeVlaar,,2024-12-15 21:06:00+00:00,1,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/HEYHEYhupNAC/status/1868401254491439467#m,@HEYHEYhupNAC,Aan jankbal van Bommel en mocro Meerdink mag ik hopen.,M043_NACnl,@NACnl
@maxrombouts162,"Sukkel, knvb helpt jullie weer anders geen resultaat",2024-12-15 21:09:00+00:00,1,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/Alkchester/status/1868401919988990330#m,@Alkchester,Groeten aan Kemper 👋🏻,M043_NACnl,@NACnl
@Denn072,Lekker laten opnemen. #tbs,2024-12-15 21:17:00+00:00,0,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/Alkchester/status/1868401919988990330#m,@Alkchester,Groeten aan Kemper 👋🏻,M043_NACnl,@NACnl
@randyment1912,Hahaha jullie roodharige nep marokaan...🤡🤡,2024-12-15 21:19:00+00:00,2,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/MeatyArxz/status/1868404057746088001#m,@MeatyArxz,Jaja Mexxie Meerdink!,M043_NACnl,@NACnl
@MeatyArxz,Op basis van wat komt u hierbij?,2024-12-15 21:20:00+00:00,1,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/MeatyArxz/status/1868404057746088001#m,@MeatyArxz,Jaja Mexxie Meerdink!,M043_NACnl,@NACnl
@randyment1912,Hahaha jij bent het broertje van Meerdink zo te lezen! 🤣🤣,2024-12-15 21:00:00+00:00,1,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/KlasseAZ/status/1868400495150412193#m,@KlasseAZ,Jullie hoerenmoeders,M043_NACnl,@NACnl
@KlasseAZ,"Nee hoor, avondje nac! Heerlijk",2024-12-15 21:06:00+00:00,0,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/KlasseAZ/status/1868400495150412193#m,@KlasseAZ,Jullie hoerenmoeders,M043_NACnl,@NACnl
@luukvandenbroek,Sukkeltje,2024-12-15 21:01:00+00:00,1,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/KlasseAZ/status/1868400495150412193#m,@KlasseAZ,Jullie hoerenmoeders,M043_NACnl,@NACnl
@HEYHEYhupNAC,Je hebt een heel klein pikkie,2024-12-15 21:02:00+00:00,1,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/KlasseAZ/status/1868400495150412193#m,@KlasseAZ,Jullie hoerenmoeders,M043_NACnl,@NACnl
@scmvloon,🤡,2024-12-15 21:06:00+00:00,0,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/KlasseAZ/status/1868400495150412193#m,@KlasseAZ,Jullie hoerenmoeders,M043_NACnl,@NACnl
@NicoEmmen193489,Wat een praat zeg !!!,2024-12-15 21:38:00+00:00,0,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/KlasseAZ/status/1868400495150412193#m,@KlasseAZ,Jullie hoerenmoeders,M043_NACnl,@NACnl
@teigemans,"Jij bent ook niveau schimmelkaas.... 
#NACpraat #NACaz",2024-12-15 21:02:00+00:00,1,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/KlasseAZ/status/1868400495150412193#m,@KlasseAZ,Jullie hoerenmoeders,M043_NACnl,@NACnl
@KlasseAZ,Je moeder.,2024-12-15 21:05:00+00:00,1,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/KlasseAZ/status/1868400495150412193#m,@KlasseAZ,Jullie hoerenmoeders,M043_NACnl,@NACnl
@randyment1912,Talking to your penis again?,2024-12-15 21:11:00+00:00,0,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/marcospachiel/status/1868403069307986368#m,@marcospachiel,"yes, you're small",M043_NACnl,@NACnl
@hansl49,Held.o nee eikel,2024-12-16 14:10:00+00:00,0,https://nitter.net/NACnl/status/1868400446836195474,https://nitter.net/riq1987/status/1868403393242210499#m,@riq1987,,M043_NACnl,@NACnl
@Clarithn,Het feit dat jullie het zo lastig hadden tegen een promovendus zegt meer over AZ dan over ons,2024-12-15 21:01:00+00:00,1,https://nitter.net/NACnl/status/1868399496989642865,https://nitter.net/TommmAZA/status/1868399797457367045#m,@TommmAZA,En verdiend ook 🤡,M043_NACnl,@NACnl
@TommmAZA,,2024-12-15 21:03:00+00:00,1,https://nitter.net/NACnl/status/1868399496989642865,https://nitter.net/TommmAZA/status/1868399797457367045#m,@TommmAZA,En verdiend ook 🤡,M043_NACnl,@NACnl
@Mxlan13,was helaas gewoon terecht. domme actie.,2024-12-15 20:47:00+00:00,0,https://nitter.net/NACnl/status/1868396738513440794,https://nitter.net/mark_roovers/status/1868396934630891577#m,@mark_roovers,WAT EEN AANFLUITING WEER @KNVB,M043_NACnl,@NACnl
