author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@Vitessewatcher,Want die 'oplossing' levert geen gedoe op?,2024-12-21 07:19:00+00:00,1,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/DannyWijnhoud/status/1870291165548888390#m,@DannyWijnhoud,"In beroep gaan! 

Indien de @KNVB als straf punten in mindering kan  brengen, kunnen ze ook 2 punten bijtellen voor @PECZwolle #peczwolle, waarbij RKC het punt mag behouden. 

#rkcpec #knvb #VAR #varvandeweek",M044_PECZwolle,@PECZwolle
@DannyWijnhoud,"Ja, maar gedoe is noodzakelijk voor gerechtigheid.",2024-12-21 07:22:00+00:00,1,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/DannyWijnhoud/status/1870291165548888390#m,@DannyWijnhoud,"In beroep gaan! 

Indien de @KNVB als straf punten in mindering kan  brengen, kunnen ze ook 2 punten bijtellen voor @PECZwolle #peczwolle, waarbij RKC het punt mag behouden. 

#rkcpec #knvb #VAR #varvandeweek",M044_PECZwolle,@PECZwolle
@pierre_k87,#uniek,2024-12-21 06:22:00+00:00,0,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/DannyWijnhoud/status/1870291165548888390#m,@DannyWijnhoud,"In beroep gaan! 

Indien de @KNVB als straf punten in mindering kan  brengen, kunnen ze ook 2 punten bijtellen voor @PECZwolle #peczwolle, waarbij RKC het punt mag behouden. 

#rkcpec #knvb #VAR #varvandeweek",M044_PECZwolle,@PECZwolle
@KampenHerman,Nee.RKC heeft ook 90 minuten de tijd gekregen om meer doelpunten te maken.Dus nee.Geen punten naar RKC,2024-12-21 18:55:00+00:00,0,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/DannyWijnhoud/status/1870291165548888390#m,@DannyWijnhoud,"In beroep gaan! 

Indien de @KNVB als straf punten in mindering kan  brengen, kunnen ze ook 2 punten bijtellen voor @PECZwolle #peczwolle, waarbij RKC het punt mag behouden. 

#rkcpec #knvb #VAR #varvandeweek",M044_PECZwolle,@PECZwolle
@The_Videoref,Ook wel onorthodox genomen. Meestal staat de ontvanger achter de bal!,2024-12-21 06:33:00+00:00,0,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/Troebadeurtje1/status/1870232606119219224#m,@Troebadeurtje1,"Onmogelijk. Elke amateurscheidsrechter kent die regel.

Je gaat mij niet vertellen dat 6(!!) professionele scheidsrechters deze regel TEGELIJK zijn vergeten. Onmogelijk.

#rkcpec",M044_PECZwolle,@PECZwolle
@ejwillemse73,Dat snap ik ook niet.,2024-12-20 22:41:00+00:00,0,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/Troebadeurtje1/status/1870232606119219224#m,@Troebadeurtje1,"Onmogelijk. Elke amateurscheidsrechter kent die regel.

Je gaat mij niet vertellen dat 6(!!) professionele scheidsrechters deze regel TEGELIJK zijn vergeten. Onmogelijk.

#rkcpec",M044_PECZwolle,@PECZwolle
@Johnb1961,J017 hoor,2024-12-20 21:56:00+00:00,1,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/ericslikker/status/1870223639045722516#m,@ericslikker,En JO19-spelers moeten een spelregelsdiploma halen 🤡,M044_PECZwolle,@PECZwolle
@ericslikker,Dan is tijd recentelijk aangescherpt😏,2024-12-20 21:57:00+00:00,1,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/ericslikker/status/1870223639045722516#m,@ericslikker,En JO19-spelers moeten een spelregelsdiploma halen 🤡,M044_PECZwolle,@PECZwolle
@RalphvdBerg,"Bal gaat via een medespeler tegen de hand van de PEC speler. Ik vind dit 1000% hands, maar is dit niet volgens de regels. Tja..",2024-12-20 21:50:00+00:00,1,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/Gerard_Peters_/status/1870223741688451447#m,@Gerard_Peters_,"Een bal moet ook stilliggen als een corner genomen wordt dus uiteindelijk met een verkeerde reden toch terecht afgekeurd. 
Ook even geïnformeerd naar de penalty toen je ze toch aan de telefoon had?",M044_PECZwolle,@PECZwolle
@Gerard_Peters_,Wel als het opzettelijk hands is.,2024-12-20 21:56:00+00:00,1,https://nitter.net/PECZwolle/status/1870219878495383718,https://nitter.net/Gerard_Peters_/status/1870223741688451447#m,@Gerard_Peters_,"Een bal moet ook stilliggen als een corner genomen wordt dus uiteindelijk met een verkeerde reden toch terecht afgekeurd. 
Ook even geïnformeerd naar de penalty toen je ze toch aan de telefoon had?",M044_PECZwolle,@PECZwolle
