author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@Toine_fcu,Welke 3? 😂,2024-12-22 16:48:00+00:00,0,https://nitter.net/fcutrecht/status/1870858558797164634,https://nitter.net/Skengzy1/status/1870860721980162330#m,@Skengzy1,Heel slecht weer. Misschien drie jongens die eruitzien alsof ze op het veld willen zijn. De rest is er alleen voor het salaris.,M047_fcutrecht,@fcutrecht
@hans_arnhem,Derde. Maar kijk vooral naar anderen als je daar blij van wordt.,2024-12-22 17:11:00+00:00,1,https://nitter.net/fcutrecht/status/1870853491817926865,https://nitter.net/Dutchmongrel/status/1870853649062142134#m,@Dutchmongrel,🤣🤣🤣🤣🤣🤣🤣🤣🤣 weten jullie ook weer waar je staat,M047_fcutrecht,@fcutrecht
@Dutchmongrel,Ik schrok helemaal van je profielfoto!,2024-12-22 17:51:00+00:00,0,https://nitter.net/fcutrecht/status/1870853491817926865,https://nitter.net/Dutchmongrel/status/1870853649062142134#m,@Dutchmongrel,🤣🤣🤣🤣🤣🤣🤣🤣🤣 weten jullie ook weer waar je staat,M047_fcutrecht,@fcutrecht
@iraqteam_krd,😂😂😂😂😂😂😂 Who is Ivar ?,2024-12-22 15:28:00+00:00,0,https://nitter.net/fcutrecht/status/1870853491817926865,https://nitter.net/herminabanda/status/1870853835050397704#m,@herminabanda,"trust me bro, ivar jenner who plays in jong utrecht are better than zidane iqbal.",M047_fcutrecht,@fcutrecht
@HMD3LAA,Get off,2024-12-22 17:34:00+00:00,0,https://nitter.net/fcutrecht/status/1870853491817926865,https://nitter.net/herminabanda/status/1870853835050397704#m,@herminabanda,"trust me bro, ivar jenner who plays in jong utrecht are better than zidane iqbal.",M047_fcutrecht,@fcutrecht
@HansieeeeFR,Zelfs zonder Viergever winnen jullie van dit drama Feyenoord man😅,2024-12-22 15:49:00+00:00,0,https://nitter.net/fcutrecht/status/1870852214517911562,https://nitter.net/BrugginkMathijs/status/1870852677246329167#m,@BrugginkMathijs,Lekker handig om nu nog rood te pakken… ben je geschorst tegen Feyenoord 🫠,M047_fcutrecht,@fcutrecht
@Thee__Goose,Wil je dat ze de hele wedstrijd stil zijn?,2024-12-22 20:40:00+00:00,1,https://nitter.net/fcutrecht/status/1870849992082194572,https://nitter.net/THFCMika/status/1870850239587840250#m,@THFCMika,"Maar de ultratjes zingen vrolijk verder hoor, in hun drugs fantasie is het een en al feest.",M047_fcutrecht,@fcutrecht
@THFCMika,"Nee maar om met 2-5 achter te staan thuis tegen Fortuna en dan nog vrolijk zingen dat we Europa gaan verslaan 😂

Niet helemaal gepast vond ik op dat moment in het stadion",2024-12-22 21:20:00+00:00,0,https://nitter.net/fcutrecht/status/1870849992082194572,https://nitter.net/THFCMika/status/1870850239587840250#m,@THFCMika,"Maar de ultratjes zingen vrolijk verder hoor, in hun drugs fantasie is het een en al feest.",M047_fcutrecht,@fcutrecht
@Pimpraat_,"Misschien een keer de wedstrijd kijken. Want Fortuna heeft geen kans gecreerd zelf, zijn alleen maar fouten van Utrecht",2024-12-22 15:08:00+00:00,1,https://nitter.net/fcutrecht/status/1870848438755381734,https://nitter.net/Dutchmongrel/status/1870848653876994432#m,@Dutchmongrel,Het geluk is op. Het is klaar voor Utrecht,M047_fcutrecht,@fcutrecht
@Dutchmongrel,"Ok. Dus het geluk is niet alleen op, het is zelfs al omgedraaid naar PECH. Utrecht wordt dus gewoon 6e en faalt in de playoffs zoals altijd",2024-12-22 15:15:00+00:00,1,https://nitter.net/fcutrecht/status/1870848438755381734,https://nitter.net/Dutchmongrel/status/1870848653876994432#m,@Dutchmongrel,Het geluk is op. Het is klaar voor Utrecht,M047_fcutrecht,@fcutrecht
@Phlipie,"Mike van der Hoorn is betrokken bij elke goal van Fortuna. Rare acties, veel bal verlies en niet meeverdedigen.",2024-12-22 15:28:00+00:00,0,https://nitter.net/fcutrecht/status/1870848438755381734,https://nitter.net/Phlipie/status/1870850018170789931#m,@Phlipie,Zwakke schakel voor de 2e week op rij is Mike van der Hoorn.,M047_fcutrecht,@fcutrecht
@rubberuhrobbie,Als El karouani bij de 2-4 niet als een dolle hond instapt heeft die spit nooit zoveel vrijheid,2024-12-22 15:17:00+00:00,0,https://nitter.net/fcutrecht/status/1870848438755381734,https://nitter.net/Phlipie/status/1870850018170789931#m,@Phlipie,Zwakke schakel voor de 2e week op rij is Mike van der Hoorn.,M047_fcutrecht,@fcutrecht
@jaimey030,Wat moet Frans met oude dikke?,2024-12-22 19:46:00+00:00,1,https://nitter.net/fcutrecht/status/1870712690240524680,https://nitter.net/Utrecht19701/status/1870791488336011755#m,@Utrecht19701,Frans gaat die kroeg gewoon kopen. Simpel.,M047_fcutrecht,@fcutrecht
@Utrecht19701,Hij kent de huidige eigenaar. Het is een Utrechts begrip. 1+1=?,2024-12-22 20:28:00+00:00,0,https://nitter.net/fcutrecht/status/1870712690240524680,https://nitter.net/Utrecht19701/status/1870791488336011755#m,@Utrecht19701,Frans gaat die kroeg gewoon kopen. Simpel.,M047_fcutrecht,@fcutrecht
