author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@SvH_276,Hele domme actie was het. Moet je ook zien wat voor een gevolgen het heeft.,2024-12-22 00:15:00+00:00,0,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/masje01/status/1870602347824500839#m,@masje01,Ik hoop dat die supporter niet meer kan lopen. Moet je maar netjes in je vak blijven staan en niet op het plexiglas klimmen.,M048_HeraclesAlmelo,@HeraclesAlmelo
@aquieevasco,Alguém sabe porque o jogo foi interrompido e por qual motivo,2024-12-22 00:47:00+00:00,1,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/masje01/status/1870602347824500839#m,@masje01,Ik hoop dat die supporter niet meer kan lopen. Moet je maar netjes in je vak blijven staan en niet op het plexiglas klimmen.,M048_HeraclesAlmelo,@HeraclesAlmelo
@10Wvh,"Wat is het volgende?
Springen uit een lichtmast🤔",2024-12-22 08:59:00+00:00,0,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/masje01/status/1870602347824500839#m,@masje01,Ik hoop dat die supporter niet meer kan lopen. Moet je maar netjes in je vak blijven staan en niet op het plexiglas klimmen.,M048_HeraclesAlmelo,@HeraclesAlmelo
@FullOfAntibody,When will they resume playing?,2024-12-21 22:53:00+00:00,0,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/LarryMasawudu/status/1870599028934873296#m,@LarryMasawudu,Game cancelled?,M048_HeraclesAlmelo,@HeraclesAlmelo
@RaverOmikron,yes,2024-12-21 22:36:00+00:00,0,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/LarryMasawudu/status/1870599028934873296#m,@LarryMasawudu,Game cancelled?,M048_HeraclesAlmelo,@HeraclesAlmelo
@JMW_2023,Wtf I got them in my acca,2024-12-21 22:36:00+00:00,1,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/LarryMasawudu/status/1870599028934873296#m,@LarryMasawudu,Game cancelled?,M048_HeraclesAlmelo,@HeraclesAlmelo
@marco_huizen,Moeten mede mens zich gedragen. Ook buiten het stadion dus ook. Je bent zeker niet de enigste die jan lul heet hoor.,2024-12-21 23:39:00+00:00,0,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/RaverOmikron/status/1870599108572098931#m,@RaverOmikron,Dankjewel 45 minuten voor jan lul gewacht. Dit kan ook alleen maar in Nederland.,M048_HeraclesAlmelo,@HeraclesAlmelo
@Wheelboii,Jij bent de lul hier,2024-12-22 22:34:00+00:00,0,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/RaverOmikron/status/1870599108572098931#m,@RaverOmikron,Dankjewel 45 minuten voor jan lul gewacht. Dit kan ook alleen maar in Nederland.,M048_HeraclesAlmelo,@HeraclesAlmelo
@probxnqity,Someone fell through plexiglass,2024-12-22 01:29:00+00:00,0,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/I_amGcgentle/status/1870605501379088695#m,@I_amGcgentle,What happened exactly?,M048_HeraclesAlmelo,@HeraclesAlmelo
@Wheelboii,"Zouden ze vandaag bekend maken, niks gehoord",2024-12-22 22:35:00+00:00,0,https://nitter.net/HeraclesAlmelo/status/1870598506840506391,https://nitter.net/SrZaktigris08/status/1870634851780759593#m,@SrZaktigris08,Wanneer wordt het spel hervat?,M048_HeraclesAlmelo,@HeraclesAlmelo
