author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@wouter_xx,Ik leef hiervoor,2025-01-11 18:26:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878142445117927534,https://nitter.net/RebelSjors/status/1878142919133085862#m,@RebelSjors,"Bedankt Steijn.
Succes in de KKD.",M049_SpartaRotterdam,@SpartaRotterdam
@Spartan_1888,"Gele kaart kan niet geseponeerd worden. Zelfde als met Eerdhuijzen/Young waar de scheids de verkeerde
Speler
Een
Kaart gaf.",2025-01-11 18:57:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878142445117927534,https://nitter.net/kleef_sand104/status/1878146625748529507#m,@kleef_sand104,"Penalty niet gegeven en een onterechte rode kaart, arbitrageniveau was ook om te janken. Hopelijk wordt die rode kaart nog gesponeerd, want Young speelde duidelijk de bal",M049_SpartaRotterdam,@SpartaRotterdam
@skuravy,"Laten ze maar eens de kansen af maken, want daar laat je het liggen vanavond",2025-01-11 18:28:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878142445117927534,https://nitter.net/Patrick_Hberg/status/1878143184406008123#m,@Patrick_Hberg,Eigen schuld. Er zit totaal geen vertrouwen in het team.,M049_SpartaRotterdam,@SpartaRotterdam
@spartajan,"4 punten,  thuis heb je ook gelijk gespeeld",2025-01-12 22:17:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878142445117927534,https://nitter.net/delft13/status/1878161057413214378#m,@delft13,"Puntverlies? Puntenverlies zul je bedoelen. Niet 1, maar 2 punten verloren ☹️",M049_SpartaRotterdam,@SpartaRotterdam
@jongejonga,Egg is woedend.,2025-01-11 18:12:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878141392242765977,https://nitter.net/egghead0055/status/1878141646379885000#m,@egghead0055,Kanker kanker kanker idioten,M049_SpartaRotterdam,@SpartaRotterdam
@NV058,Doe even een Cape om. Dan ben je super kwaai.,2025-01-11 18:39:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878141392242765977,https://nitter.net/egghead0055/status/1878141646379885000#m,@egghead0055,Kanker kanker kanker idioten,M049_SpartaRotterdam,@SpartaRotterdam
@MandyJanssen1,Ben er bang voor.....ongelooflijk zoveel kansen....😱,2025-01-11 17:51:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878136354799853596,https://nitter.net/Spartan_1888/status/1878136596035203456#m,@Spartan_1888,Dit gaan we nog uit handen geven ook.,M049_SpartaRotterdam,@SpartaRotterdam
@Dave_1888_2,Ja dat is wel de ervaring hè,2025-01-11 17:48:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878136354799853596,https://nitter.net/Spartan_1888/status/1878136596035203456#m,@Spartan_1888,Dit gaan we nog uit handen geven ook.,M049_SpartaRotterdam,@SpartaRotterdam
@MandyJanssen1,Die mag je toch niet missen.....pfff,2025-01-11 17:45:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878135756016779359,https://nitter.net/Spartan_1888/status/1878135898014945487#m,@Spartan_1888,Ongelooflijk!,M049_SpartaRotterdam,@SpartaRotterdam
@jeffreyvanas,En dan straks nog gelijk spelen hier. Terwijl het al minimaal 2 verschil had moeten zijn,2025-01-11 17:45:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878135756016779359,https://nitter.net/Spartan_1888/status/1878135898014945487#m,@Spartan_1888,Ongelooflijk!,M049_SpartaRotterdam,@SpartaRotterdam
@egghead0055,Kayky is een rechtsbuiten,2025-01-11 17:41:00+00:00,1,https://nitter.net/SpartaRotterdam/status/1878134817008599204,https://nitter.net/Spartan_1888/status/1878134900605235395#m,@Spartan_1888,Uhh Waar is Kayky?,M049_SpartaRotterdam,@SpartaRotterdam
@Spartan_1888,Ja dus? Jij had ook Verschueren moeten wisselen voor Kayky en dan Neghli op de plek van Verschueren.,2025-01-11 17:45:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878134817008599204,https://nitter.net/Spartan_1888/status/1878134900605235395#m,@Spartan_1888,Uhh Waar is Kayky?,M049_SpartaRotterdam,@SpartaRotterdam
@Goatritsen,"Speelt een goede wedstrijd, vooral met die panna",2025-01-11 17:30:00+00:00,0,https://nitter.net/SpartaRotterdam/status/1878131565219217598,https://nitter.net/F_Clarijs/status/1878131879322239390#m,@F_Clarijs,Eindelijk….en zeker van Mito…hardwerkend 💪🇯🇵,M049_SpartaRotterdam,@SpartaRotterdam
