author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@JJJ_Visser,Goed en juist gesproken 👍,2025-01-11 22:07:00+00:00,0,https://nitter.net/AZAlkmaar/status/1878198732237176861,https://nitter.net/wanniewestzijde/status/1878199148328996893#m,@wanniewestzijde,Thuis en uit tegen PSV genaaid.,M050_AZAlkmaar,@AZAlkmaar
@FrankPrins8,App even naar Til.... Toch gewone jongen Guus....,2025-01-11 22:23:00+00:00,0,https://nitter.net/AZAlkmaar/status/1878198732237176861,https://nitter.net/wanniewestzijde/status/1878199148328996893#m,@wanniewestzijde,Thuis en uit tegen PSV genaaid.,M050_AZAlkmaar,@AZAlkmaar
@1913_Kevin,"Wa knvb naait jullie, jullie hebben 2 kansen gehad",2025-01-11 21:56:00+00:00,0,https://nitter.net/AZAlkmaar/status/1878198732237176861,https://nitter.net/yukinarisuga26/status/1878198869084750224#m,@yukinarisuga26,KNVB naait ons weer,M050_AZAlkmaar,@AZAlkmaar
@Leon61119580491,Ik ben het helemaal met je eens man. Ik snapte alleen de wissel van Lahdo niet want Poku moest er natuurlijk uit maar daarbuiten erg sterk gedaan.,2025-01-11 22:30:00+00:00,1,https://nitter.net/AZAlkmaar/status/1878198732237176861,https://nitter.net/xo253123/status/1878206892897354108#m,@xo253123,"Ik wil wel graag mijn mede-AZ-supporters oproepen om minder negatief te doen. Ik zie allemaal 4-1 verlies, 2-0 verlies enz. voorbij komen in de voorspellingen. We hadden deze gewoon moeten winnen met een normale scheids. Credits voor Huiberts en Martens!",M050_AZAlkmaar,@AZAlkmaar
@xo253123,"Ik ben geen fan van Poku, maar zorgt voor veel diepte en verdedigt goed mee. Hopelijk kan AZ dinsdag wel winnen....",2025-01-11 22:34:00+00:00,1,https://nitter.net/AZAlkmaar/status/1878198732237176861,https://nitter.net/xo253123/status/1878206892897354108#m,@xo253123,"Ik wil wel graag mijn mede-AZ-supporters oproepen om minder negatief te doen. Ik zie allemaal 4-1 verlies, 2-0 verlies enz. voorbij komen in de voorspellingen. We hadden deze gewoon moeten winnen met een normale scheids. Credits voor Huiberts en Martens!",M050_AZAlkmaar,@AZAlkmaar
@Javier41002177,En of,2025-01-11 21:46:00+00:00,0,https://nitter.net/AZAlkmaar/status/1878196213050208311,https://nitter.net/jordyhulskamp/status/1878196356256322007#m,@jordyhulskamp,Hier worden jullie toch keihard genaaid,M050_AZAlkmaar,@AZAlkmaar
@Mitta1120,Lahdo.,2025-01-11 20:44:00+00:00,0,https://nitter.net/AZAlkmaar/status/1878155073873715449,https://nitter.net/MikeMUFC48/status/1878155699575824576#m,@MikeMUFC48,Geen van Bommel? Wie de fuck gaat er scoren dan 😂,M050_AZAlkmaar,@AZAlkmaar
@VurigeVlaar,Al geblesseerd sinds NAC uit….,2025-01-11 19:45:00+00:00,0,https://nitter.net/AZAlkmaar/status/1878155073873715449,https://nitter.net/yukinarisuga26/status/1878155708773917033#m,@yukinarisuga26,Waar is Kees??!!!,M050_AZAlkmaar,@AZAlkmaar
@AIStreetMagic,Grok is soms wel handig 🤔,2025-01-11 19:32:00+00:00,0,https://nitter.net/AZAlkmaar/status/1878155073873715449,https://nitter.net/yukinarisuga26/status/1878155708773917033#m,@yukinarisuga26,Waar is Kees??!!!,M050_AZAlkmaar,@AZAlkmaar
@Leon61119580491,Het heeft wel goed uitgepakt haha,2025-01-11 21:01:00+00:00,0,https://nitter.net/AZAlkmaar/status/1878155073873715449,https://nitter.net/xo253123/status/1878162822628073680#m,@xo253123,"Poku en Lahdo, mijn god, moment van de waarheid...",M050_AZAlkmaar,@AZAlkmaar
@bertinewil22245,Wat heeft dit met Feyenoord te maken?,2025-01-11 08:49:00+00:00,1,https://nitter.net/AZAlkmaar/status/1877987308722606551,https://nitter.net/eric_azalkmaar/status/1877993678825742770#m,@eric_azalkmaar,Met dank voor de pannenkoeken die zich bij Feyenoord misdragen hebben,M050_AZAlkmaar,@AZAlkmaar
