author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@Stephan24236169,Eerlijk is eerlijk. Ik vind van niet,2025-02-23 15:33:00+00:00,2,https://nitter.net/GAEagles/status/1893684340824883546,https://nitter.net/boxschoten/status/1893684975519604767#m,@boxschoten,We zijn gewoon genaaid!,M055_GAEagles,@GAEagles
@boxschoten,"Niet alles, maar 2 dingen wel idd, zie reactie hieronder",2025-02-23 15:58:00+00:00,0,https://nitter.net/GAEagles/status/1893684340824883546,https://nitter.net/boxschoten/status/1893684975519604767#m,@boxschoten,We zijn gewoon genaaid!,M055_GAEagles,@GAEagles
@joeldanhof7,Waren allemaal terechte beslissingen kerel,2025-02-23 15:40:00+00:00,0,https://nitter.net/GAEagles/status/1893684340824883546,https://nitter.net/boxschoten/status/1893684975519604767#m,@boxschoten,We zijn gewoon genaaid!,M055_GAEagles,@GAEagles
@GodenzoonAMS,Sterkte de komende tijd.,2025-02-23 15:52:00+00:00,0,https://nitter.net/GAEagles/status/1893684340824883546,https://nitter.net/boxschoten/status/1893684975519604767#m,@boxschoten,We zijn gewoon genaaid!,M055_GAEagles,@GAEagles
@LarsStavenuiter,toevalstreffer? De kopkans van godts van de lijn gehaald of de mega kans van traore ervoor? Ja Ajax creëerde niks aan het begin van de tweede helft.  Die penalty was achterlijk en de goal kon je duidelijk zien dat het via de arm ging.,2025-02-23 15:56:00+00:00,0,https://nitter.net/GAEagles/status/1893684340824883546,https://nitter.net/AJ4554495446656/status/1893686137169887322#m,@AJ4554495446656,"Onterecht, maar zoals het hele jaar zit alles me met Ajax. Is het niet de scheidsrechter en VAR dan is het wel een toevalstreffer of het aluminium!

Jammer.......... Maar woensdag meer geluk hopelijk❤️💛💪👊",M055_GAEagles,@GAEagles
@Rubiomonstro,Je moet wel zeggen vermoeden want je hebt er natuurlijk geen bewijs voor,2025-02-23 14:50:00+00:00,1,https://nitter.net/GAEagles/status/1893673778908889462,https://nitter.net/2021Psv/status/1893673986770219363#m,@2021Psv,"Gewoon weggeven dit. Pure matchfixing.

Hoop dat PSV er woensdag vol opklapt. Afstraffen deze competitievervalsing. Lachwekkend.",M055_GAEagles,@GAEagles
@2021Psv,"Bewijs zie je met ogen. Spelen op 50%. Houden zich zo vaak in. Lachwekkend gewoon.

Ik denk dat de motivatie voor PSV geen probleem gaat worden komende week. Is maar een vermoeden😉",2025-02-23 14:55:00+00:00,0,https://nitter.net/GAEagles/status/1893673778908889462,https://nitter.net/2021Psv/status/1893673986770219363#m,@2021Psv,"Gewoon weggeven dit. Pure matchfixing.

Hoop dat PSV er woensdag vol opklapt. Afstraffen deze competitievervalsing. Lachwekkend.",M055_GAEagles,@GAEagles
@NiekosL,Gewoon zelf je eigen potjes winnen pik.,2025-02-23 14:48:00+00:00,0,https://nitter.net/GAEagles/status/1893673778908889462,https://nitter.net/2021Psv/status/1893673986770219363#m,@2021Psv,"Gewoon weggeven dit. Pure matchfixing.

Hoop dat PSV er woensdag vol opklapt. Afstraffen deze competitievervalsing. Lachwekkend.",M055_GAEagles,@GAEagles
@klaas94205538,GAE is Feyenoord 2.0. Hoe bedoel je weggeven,2025-02-23 14:53:00+00:00,0,https://nitter.net/GAEagles/status/1893673778908889462,https://nitter.net/2021Psv/status/1893673986770219363#m,@2021Psv,"Gewoon weggeven dit. Pure matchfixing.

Hoop dat PSV er woensdag vol opklapt. Afstraffen deze competitievervalsing. Lachwekkend.",M055_GAEagles,@GAEagles
@ProStockAmateur,nee standaard xi,2025-02-23 12:51:00+00:00,0,https://nitter.net/GAEagles/status/1893636795578892771,https://nitter.net/KeesvdBacon/status/1893638085633609936#m,@KeesvdBacon,Kenners onder ons? Wordt er gespaard ivm komende week of sterkst mogelijke elf ?,M055_GAEagles,@GAEagles
