author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@Dhistor,Zullen we het eerst eens proberen met een coach die er wel iets van kan voordat we de hele organisatie afbreken?,2025-02-02 16:25:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Perrtje/status/1886076357601358188#m,@Perrtje,"Bedankt Dennis te Kloese. Wat een ongelooflijk incapebele clown ben je toch. De weg omhoog is door jouw toedoen helemaal weg. 

Nu ga je Priske ontslaan, maar jij bent de hoofdschuldige. En jij kan gewoon op je troon blijven zitten. Ongelooflijk wanbeleid.",M058_Feyenoord,@Feyenoord
@SKR_1099,"Dennis te Kloese heeft Feyenoord financieel gezond gemaakt, domme idioot. Priske is verantwoordelijk voor de wanprestatie met dit elftal, door er veel te weinig uit te halen",2025-02-02 15:46:00+00:00,2,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Perrtje/status/1886076357601358188#m,@Perrtje,"Bedankt Dennis te Kloese. Wat een ongelooflijk incapebele clown ben je toch. De weg omhoog is door jouw toedoen helemaal weg. 

Nu ga je Priske ontslaan, maar jij bent de hoofdschuldige. En jij kan gewoon op je troon blijven zitten. Ongelooflijk wanbeleid.",M058_Feyenoord,@Feyenoord
@Perrtje,"Je snapt er weinig van SKR, maar dat maakt niet uit. Ik hoop dat je vannacht lekker slaapt onder je Dennis te Kloese dekbed.",2025-02-02 16:08:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Perrtje/status/1886076357601358188#m,@Perrtje,"Bedankt Dennis te Kloese. Wat een ongelooflijk incapebele clown ben je toch. De weg omhoog is door jouw toedoen helemaal weg. 

Nu ga je Priske ontslaan, maar jij bent de hoofdschuldige. En jij kan gewoon op je troon blijven zitten. Ongelooflijk wanbeleid.",M058_Feyenoord,@Feyenoord
@henkieFR,,2025-02-02 16:09:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/HenkFeijenoord/status/1886083958804279652#m,@HenkFeijenoord,,M058_Feyenoord,@Feyenoord
@HolyFarioli,“Gezondheid” moussa was toch echt de beste van Europa volgens jullie? Zou een stap naar de europese top kunnen verwachten volgens de meesten,2025-02-02 16:33:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/lader24/status/1886075704653009161#m,@lader24,hadj Moussa Ueda opkankeren,M058_Feyenoord,@Feyenoord
@lader24,retard,2025-02-02 17:05:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/lader24/status/1886075704653009161#m,@lader24,hadj Moussa Ueda opkankeren,M058_Feyenoord,@Feyenoord
@WalterLego3,Sneuneger,2025-02-02 16:35:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/lader24/status/1886075704653009161#m,@lader24,hadj Moussa Ueda opkankeren,M058_Feyenoord,@Feyenoord
@liveviewnh,"Ga je mond spoelen met zeep, jij gaat in de blokkendoos.",2025-02-02 15:41:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/lader24/status/1886075704653009161#m,@lader24,hadj Moussa Ueda opkankeren,M058_Feyenoord,@Feyenoord
@Kenny1993NL,"Riep je dit ook na Bayern Munchen, Benfica en ManCity? Hypocrietje.",2025-02-02 16:52:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/kimberley1411/status/1886076001035141173#m,@kimberley1411,#PriskeOut,M058_Feyenoord,@Feyenoord
@RutgerSchoenma2,Flikker op man...,2025-02-02 15:36:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/WT_FR1908/status/1886076035130687641#m,@WT_FR1908,Boys worked hard 🙏🚮,M058_Feyenoord,@Feyenoord
@WT_FR1908,👋,2025-02-02 17:02:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/WT_FR1908/status/1886076035130687641#m,@WT_FR1908,Boys worked hard 🙏🚮,M058_Feyenoord,@Feyenoord
@jonkoklaper,"Je bent niet lekker, joh mafkees",2025-02-02 15:45:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/WT_FR1908/status/1886076035130687641#m,@WT_FR1908,Boys worked hard 🙏🚮,M058_Feyenoord,@Feyenoord
@WT_FR1908,Sarcasme te moeilijk?,2025-02-02 17:01:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/WT_FR1908/status/1886076035130687641#m,@WT_FR1908,Boys worked hard 🙏🚮,M058_Feyenoord,@Feyenoord
@Gandalf1908,For sure.,2025-02-02 15:47:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/WT_FR1908/status/1886076035130687641#m,@WT_FR1908,Boys worked hard 🙏🚮,M058_Feyenoord,@Feyenoord
@ajaxcarnicero,Ajax bestolen van met een man meer staan,2025-02-02 15:48:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Markvrijswijk/status/1886075909712511099#m,@Markvrijswijk,,M058_Feyenoord,@Feyenoord
@HolyFarioli,"Makkelie was verschrikkelijk, gelukkig konden we van 12 man winnen vandaag!❌❌❌",2025-02-02 16:34:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Markvrijswijk/status/1886075909712511099#m,@Markvrijswijk,,M058_Feyenoord,@Feyenoord
@Moreno14_,"Gaat om 't tweede contact, luldebehanger.",2025-02-02 16:49:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Markvrijswijk/status/1886075909712511099#m,@Markvrijswijk,,M058_Feyenoord,@Feyenoord
@vogelkijker,Makkelie zou de beste scheidrechter van Nederland zijn.  Maar welk var-lid zou de moed hebben om zijne hoogheid naar de kant te roepen omdat er een foute beslissing genomen wordt?,2025-02-03 07:29:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Markvrijswijk/status/1886075909712511099#m,@Markvrijswijk,,M058_Feyenoord,@Feyenoord
@Luuksxm,"Hij raakt echt geen bal, je kunt je vertekende beeld op iedere site delen, maar de bewegende beelden van meerdere hoeken laten anders zien. Absoluut een overtreding. En als die erbuiten wordt gegeven is het rood. Beslissing van de scheids heeft gelukkig 0,0 invloed op resultaat👍🏼",2025-02-02 18:35:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Markvrijswijk/status/1886075909712511099#m,@Markvrijswijk,,M058_Feyenoord,@Feyenoord
@JBrel5275059577,"Ff lekker Calimero gedrag kijken, heerlijk!",2025-02-02 16:25:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Markvrijswijk/status/1886075909712511099#m,@Markvrijswijk,,M058_Feyenoord,@Feyenoord
@Kevin1985213846,Direct rood was dit.,2025-02-02 16:25:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Markvrijswijk/status/1886075909712511099#m,@Markvrijswijk,,M058_Feyenoord,@Feyenoord
@FRHypeChicken,"Overduidelijk op de lijn, Mark",2025-02-02 15:36:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/Markvrijswijk/status/1886075909712511099#m,@Markvrijswijk,,M058_Feyenoord,@Feyenoord
@Robinthehood63,Geen woorden maar tranen,2025-02-03 09:23:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/AndyMarek99/status/1886076521623801992#m,@AndyMarek99,"Makkelie, wát ben jij een grafj**d!!!
😡😡😡
*Géén direct rood weghorst, na aanslag op #Wellenreuther!
*Strafschop was er géén, 'overtreding' 100% erbuiten!
*Corner Feyenoord niet gegeven, uit aanval daarop de 2-1.
*Die taylor maakt na zijn goal grove overtreding, géén 2e geel!",M058_Feyenoord,@Feyenoord
@AndyMarek99,"Jezus, wat slecht!",2025-02-03 10:41:00+00:00,1,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/AndyMarek99/status/1886076521623801992#m,@AndyMarek99,"Makkelie, wát ben jij een grafj**d!!!
😡😡😡
*Géén direct rood weghorst, na aanslag op #Wellenreuther!
*Strafschop was er géén, 'overtreding' 100% erbuiten!
*Corner Feyenoord niet gegeven, uit aanval daarop de 2-1.
*Die taylor maakt na zijn goal grove overtreding, géén 2e geel!",M058_Feyenoord,@Feyenoord
@EdShamrock,,2025-02-02 16:29:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/AndyMarek99/status/1886076521623801992#m,@AndyMarek99,"Makkelie, wát ben jij een grafj**d!!!
😡😡😡
*Géén direct rood weghorst, na aanslag op #Wellenreuther!
*Strafschop was er géén, 'overtreding' 100% erbuiten!
*Corner Feyenoord niet gegeven, uit aanval daarop de 2-1.
*Die taylor maakt na zijn goal grove overtreding, géén 2e geel!",M058_Feyenoord,@Feyenoord
@BikFrans,Dat somt het wel op.......die Makkelie is zo partijdig als de pest.....,2025-02-02 19:51:00+00:00,0,https://nitter.net/Feyenoord/status/1886075587908813070,https://nitter.net/AndyMarek99/status/1886076521623801992#m,@AndyMarek99,"Makkelie, wát ben jij een grafj**d!!!
😡😡😡
*Géén direct rood weghorst, na aanslag op #Wellenreuther!
*Strafschop was er géén, 'overtreding' 100% erbuiten!
*Corner Feyenoord niet gegeven, uit aanval daarop de 2-1.
*Die taylor maakt na zijn goal grove overtreding, géén 2e geel!",M058_Feyenoord,@Feyenoord
