author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@Rhamoaen,,2025-02-09 18:11:00+00:00,0,https://nitter.net/scHeerenveen/status/1888645053129613618,https://nitter.net/191dfbd0240b40f/status/1888647930099187728#m,@191dfbd0240b40f,"Nu niet meer zeuren over die minuut 12 man bij  en tegen Fortuna! Vandaag uur lang gecompenseerd met 12 tegen 10…..
Puntje cadeau gekregen.",M064_scHeerenveen,@scHeerenveen
@freaztwitch,Wat zeg jij nou weer?,2025-02-09 18:11:00+00:00,0,https://nitter.net/scHeerenveen/status/1888645053129613618,https://nitter.net/191dfbd0240b40f/status/1888647930099187728#m,@191dfbd0240b40f,"Nu niet meer zeuren over die minuut 12 man bij  en tegen Fortuna! Vandaag uur lang gecompenseerd met 12 tegen 10…..
Puntje cadeau gekregen.",M064_scHeerenveen,@scHeerenveen
@daniellekl92,Jullie hadden ter compensatie de scheids/var,2025-02-09 19:07:00+00:00,1,https://nitter.net/scHeerenveen/status/1888645053129613618,https://nitter.net/DerGoos/status/1888645744476954659#m,@DerGoos,Dit keer speelde Twente met 12 man met dank aan Hopland.,M064_scHeerenveen,@scHeerenveen
@DerGoos,Beetje wel he....,2025-02-09 19:30:00+00:00,0,https://nitter.net/scHeerenveen/status/1888645053129613618,https://nitter.net/DerGoos/status/1888645744476954659#m,@DerGoos,Dit keer speelde Twente met 12 man met dank aan Hopland.,M064_scHeerenveen,@scHeerenveen
@Kjollie_,Maatje kan niet tellen?!,2025-02-09 18:38:00+00:00,0,https://nitter.net/scHeerenveen/status/1888645053129613618,https://nitter.net/partidazo2604/status/1888655298446975061#m,@partidazo2604,2 puntjes boven playoffs/degradatieplek. Worden spannende weken,M064_scHeerenveen,@scHeerenveen
@SmitsOss,Zouden we dan eindelijk promoveren?👌,2025-02-09 20:01:00+00:00,1,https://nitter.net/scHeerenveen/status/1888645053129613618,https://nitter.net/PVVreiniger2025/status/1888667764203847949#m,@PVVreiniger2025,Binnen 2 jaar Top Oss uit!!,M064_scHeerenveen,@scHeerenveen
@PVVreiniger2025,"Ha ha!! Op zich zeker gegund, maar ik acht de kans net wat groter dan dat ze daar naar de kelder gaan",2025-02-09 20:54:00+00:00,0,https://nitter.net/scHeerenveen/status/1888645053129613618,https://nitter.net/PVVreiniger2025/status/1888667764203847949#m,@PVVreiniger2025,Binnen 2 jaar Top Oss uit!!,M064_scHeerenveen,@scHeerenveen
@FrisianFella,Ut het nooit wat weest... 😂,2025-02-09 19:13:00+00:00,0,https://nitter.net/scHeerenveen/status/1888644337983991836,https://nitter.net/FreekDekke87121/status/1888644787131261341#m,@FreekDekke87121,"Twente genaaid en persie nog blij mee ook.bah
Deze scheids ook wedstrijd schorsing!!!!",M064_scHeerenveen,@scHeerenveen
@fd_bokma,O sorry,2025-02-09 16:54:00+00:00,0,https://nitter.net/scHeerenveen/status/1888631354792800512,https://nitter.net/B_dmbl/status/1888631556786237450#m,@B_dmbl,Boeit niemand.,M064_scHeerenveen,@scHeerenveen
@JAFFOTHEBEST,Mij wel,2025-02-09 18:46:00+00:00,0,https://nitter.net/scHeerenveen/status/1888631354792800512,https://nitter.net/B_dmbl/status/1888631556786237450#m,@B_dmbl,Boeit niemand.,M064_scHeerenveen,@scHeerenveen
@Erikmorata1,Duitser,2025-02-10 13:07:00+00:00,0,https://nitter.net/scHeerenveen/status/1888631354792800512,https://nitter.net/B_dmbl/status/1888631556786237450#m,@B_dmbl,Boeit niemand.,M064_scHeerenveen,@scHeerenveen
@Tolve1978,Smerige overtreding met een terechte rode kaart tot gevolg.,2025-02-09 16:28:00+00:00,0,https://nitter.net/scHeerenveen/status/1888624524259680537,https://nitter.net/martijnsikkema/status/1888624874437959961#m,@martijnsikkema,Daar heb je een keer geluk,M064_scHeerenveen,@scHeerenveen
@Tolve1978,Ze moeten (en dit geval Linday) eens stoppen alles terug te spelen. Je hebt een matige tot slechte keeper op de goal... dus SPEEL DIE BAL VOORUITTTT.,2025-02-09 15:57:00+00:00,0,https://nitter.net/scHeerenveen/status/1888616116919889956,https://nitter.net/partidazo2604/status/1888616646459482493#m,@partidazo2604,Lekker gespeeld Hopland. Centrum Hopland- Kersten zuurtjes! 😤,M064_scHeerenveen,@scHeerenveen
