author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@WillemNunen,@fcgroningen 5 stewards naar het ziekenhuis.. ga je schamen,2025-03-29 19:42:00+00:00,1,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/_ChrisWM_/status/1906066035700031493#m,@_ChrisWM_,“Fantastische support”. Ga je kapot schamen.,M072_fcgroningen,@fcgroningen
@MikeSneu,Daders oppakken of anders leeg uitvak in Rotterdam mensen moeten maar eens leren dat geweld niks oplost,2025-03-30 07:18:00+00:00,1,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/_ChrisWM_/status/1906066035700031493#m,@_ChrisWM_,“Fantastische support”. Ga je kapot schamen.,M072_fcgroningen,@fcgroningen
@Voetbalken82700,"Zelf niets beter..
rijnmond.nl/amp/nieuws/18954…",2025-03-31 15:31:00+00:00,0,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/Rattack1912/status/1906062937493573728#m,@Rattack1912,Want stewards van NAC het ziekenhuis in slaan is wat jullie support noemen. Zou een sterkere reactie zijn als jullie daar afstand zouden nemen.,M072_fcgroningen,@fcgroningen
@Jeff05011,Lekker man,2025-03-29 19:57:00+00:00,0,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/MiesKuhhh/status/1906061644406338044#m,@MiesKuhhh,"Nog ff wat stewards t ziekenhuis ingeslagen fantastisch ruig volk man 
Alleen omdat de fanfare van Oude Pekela erin moest ?",M072_fcgroningen,@fcgroningen
@Jeff05011,Jankbek,2025-03-29 19:56:00+00:00,1,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/randyment1912/status/1906064743694991545#m,@randyment1912,"Dat jullie mogen degraderen met trommels en al, stelletje kut boeren!",M072_fcgroningen,@fcgroningen
@randyment1912,Stinkboer!,2025-03-29 20:17:00+00:00,1,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/randyment1912/status/1906064743694991545#m,@randyment1912,"Dat jullie mogen degraderen met trommels en al, stelletje kut boeren!",M072_fcgroningen,@fcgroningen
@sanderborgman,Lekker anoniem reageren toetsenbord held,2025-03-31 12:38:00+00:00,0,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/wazeddenou/status/1906069297392230426#m,@wazeddenou,Schaam je kapot! Met je kut trommel!,M072_fcgroningen,@fcgroningen
@verzeildgeraakt,belg,2025-03-30 11:25:00+00:00,0,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/nacbreda0162/status/1906072274345640024#m,@nacbreda0162,Lekker stewards mishandelen tering boeren,M072_fcgroningen,@fcgroningen
@WhatAllThink,De support was geweldig en het gedrag richting die stewards treurig.,2025-03-30 10:57:00+00:00,0,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/flvisser02/status/1906298004216115652#m,@flvisser02,"Beetje op een trommel tikken terwijl je zelf even wat stewards het ziekenhuis in ramt, ja geweldige support!",M072_fcgroningen,@fcgroningen
@sanderborgman,"Lekker anoniem reageren, toetsenbord held",2025-03-31 12:36:00+00:00,0,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/VoetbalHet/status/1906128077748367838#m,@VoetbalHet,Een trommel gebruiken waardoor je jou eigen gezang niet hoort😂,M072_fcgroningen,@fcgroningen
@noot_johnny,"Keihard gaan lopen janken, terwijl jullie zelf geen haar beter zijn(de kuip).",2025-03-30 12:21:00+00:00,0,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/zeeuwserat/status/1906305736365207822#m,@zeeuwserat,Dat je bedankt durven schrijven. 4 of 5 stewards het ziekenhuis in slaan. Je zouden je kapot moeten schamen.,M072_fcgroningen,@fcgroningen
@sanderborgman,Lekker anoniem reageren toetsenbord held,2025-03-31 12:39:00+00:00,0,https://nitter.net/fcgroningen/status/1906040026925818091,https://nitter.net/MikeyMokerr/status/1906330266542518390#m,@MikeyMokerr,Schaam je kapot stelletje kut boeren!!,M072_fcgroningen,@fcgroningen
@GrintaGroninga,"Nee Okke, door die mongolen van een Schreuders en De Jonge.",2025-03-29 17:44:00+00:00,1,https://nitter.net/fcgroningen/status/1906038170489418095,https://nitter.net/GerOkke/status/1906038642490929165#m,@GerOkke,"Bestolen door de scheidsrechter helaas. Was een penalty,  maar geen 8 minuten extra tijd. Jammer jammer jammer",M072_fcgroningen,@fcgroningen
@ErikDijkinga,Had de 2-0 op de schoen . Had al geel Dick zijn fout had hem moeten wisselen.,2025-03-29 17:41:00+00:00,0,https://nitter.net/fcgroningen/status/1906036205831020935,https://nitter.net/sjakie1/status/1906037336174899265#m,@sjakie1,#TikaDeJonge bedankt voor de medewerking,M072_fcgroningen,@fcgroningen
@TerrorMau5,"Kansloze voetballer. Speelt een kut seizoen, verreweg de zwakste schakel, elke week weer.",2025-03-31 15:59:00+00:00,0,https://nitter.net/fcgroningen/status/1906032277143920683,https://nitter.net/TerrorMau5/status/1906032868968546377#m,@TerrorMau5,Contract ontbinden wat een wanvertoning met hem elke keer.,M072_fcgroningen,@fcgroningen
@toon_gefkens,Jajoh het contract ontbinden van een van je meest talentvolle spelers,2025-03-29 18:30:00+00:00,0,https://nitter.net/fcgroningen/status/1906032277143920683,https://nitter.net/TerrorMau5/status/1906032868968546377#m,@TerrorMau5,Contract ontbinden wat een wanvertoning met hem elke keer.,M072_fcgroningen,@fcgroningen
@JakobvanDijk,"Rustig, ik ben ook fan van FC Groningen.
(was wel grappig)",2025-03-29 17:21:00+00:00,0,https://nitter.net/fcgroningen/status/1906006339203072428,https://nitter.net/Prof_Gasselich/status/1906008156204875968#m,@Prof_Gasselich,Nou en?,M072_fcgroningen,@fcgroningen
@Vos142,Je bent niet aan het werk. Die niet zo educatief.,2025-03-29 15:51:00+00:00,0,https://nitter.net/fcgroningen/status/1906006339203072428,https://nitter.net/martinspecken/status/1906010870423195963#m,@martinspecken,Waarom schrijven jullie de naam van de tegenstander in hoofdletters? #nacGRO,M072_fcgroningen,@fcgroningen
@Braziliano38196,"Hey teigemans, hoe ga je dit uitleggen op de tribune?",2025-03-29 15:15:00+00:00,0,https://nitter.net/fcgroningen/status/1906000017334153726,https://nitter.net/teigemans/status/1906001406089167067#m,@teigemans,"Je bent een 'l' vergeten🤔🤔
#NACpraat #NACgro",M072_fcgroningen,@fcgroningen
