author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@jahe1955,Ik heb het gevonden. Forza voetbal op Facebook. Forza voetbal vind ik de meest onzinnige voetbalsite die er bestaat.,2025-03-31 14:34:00+00:00,0,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/jahe1955/status/1906420551624565090#m,@jahe1955,Ik vraag mij af wanneer de eerste post geplaatst wordt waarin staat dat de scheidsrechters en de KNVB het kampioenschap aan Ajax hebben gegeven.,M075_AFCAjax,@AFCAjax
@Chirensnel,"Henk, daar barst het al van!",2025-03-30 19:17:00+00:00,0,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/jahe1955/status/1906420551624565090#m,@jahe1955,Ik vraag mij af wanneer de eerste post geplaatst wordt waarin staat dat de scheidsrechters en de KNVB het kampioenschap aan Ajax hebben gegeven.,M075_AFCAjax,@AFCAjax
@Werner16204141,Opmerking van er fan van dat supermarktclubje aan de Maas,2025-03-30 20:27:00+00:00,0,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/jahe1955/status/1906420551624565090#m,@jahe1955,Ik vraag mij af wanneer de eerste post geplaatst wordt waarin staat dat de scheidsrechters en de KNVB het kampioenschap aan Ajax hebben gegeven.,M075_AFCAjax,@AFCAjax
@LaurenszSiersma,Wacht tot het einde van het seizoen & bestel hem dan met het aantal punten dat we uiteindelijk hebben als je rugnummer 😉,2025-03-30 20:45:00+00:00,3,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/AAHWijnands/status/1906431464142491902#m,@AAHWijnands,"Af en toe mogen we een vraagje aan Farioli stellen. Ik vraag me af, als je een Farioli shirtje wil kopen, wel rugnummer moet je dan kiezen? 😄",M075_AFCAjax,@AFCAjax
@AAHWijnands,"Heel eerlijk, dat is best wel een heel vet idee. Dat ga ik misschien wel doen.",2025-03-30 22:58:00+00:00,0,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/AAHWijnands/status/1906431464142491902#m,@AAHWijnands,"Af en toe mogen we een vraagje aan Farioli stellen. Ik vraag me af, als je een Farioli shirtje wil kopen, wel rugnummer moet je dan kiezen? 😄",M075_AFCAjax,@AFCAjax
@SCJ2029,37,2025-03-30 20:09:00+00:00,0,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/AAHWijnands/status/1906431464142491902#m,@AAHWijnands,"Af en toe mogen we een vraagje aan Farioli stellen. Ik vraag me af, als je een Farioli shirtje wil kopen, wel rugnummer moet je dan kiezen? 😄",M075_AFCAjax,@AFCAjax
@fifavolgen,Ik heb m zonder rugnummer,2025-03-30 19:56:00+00:00,0,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/AAHWijnands/status/1906431464142491902#m,@AAHWijnands,"Af en toe mogen we een vraagje aan Farioli stellen. Ik vraag me af, als je een Farioli shirtje wil kopen, wel rugnummer moet je dan kiezen? 😄",M075_AFCAjax,@AFCAjax
@Guppie19833,T is een oud keeper/keepers trainer dus 1? 😉,2025-03-30 20:27:00+00:00,0,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/AAHWijnands/status/1906431464142491902#m,@AAHWijnands,"Af en toe mogen we een vraagje aan Farioli stellen. Ik vraag me af, als je een Farioli shirtje wil kopen, wel rugnummer moet je dan kiezen? 😄",M075_AFCAjax,@AFCAjax
@CrewAmsterdam1,GOAT,2025-03-30 20:08:00+00:00,0,https://nitter.net/AFCAjax/status/1906414107009462450,https://nitter.net/GrintaRosa/status/1906416562677948555#m,@GrintaRosa,🐐🐐,M075_AFCAjax,@AFCAjax
@WIJZIJNAJAX98,Je moet de stand even aanpassen man.,2025-03-30 18:09:00+00:00,1,https://nitter.net/AFCAjax/status/1906380453004656713,https://nitter.net/botmaarwaar/status/1906383721025982526#m,@botmaarwaar,"Oh, nu is het ineens wel een topwedstrijd....",M075_AFCAjax,@AFCAjax
