author,reply,timestamp,comments,tweet_url,parent_reply_url,in_reply_to_author,parent_reply_text,match_id,team_handle
@dino15009691,Denk dat Oosting achterstevoren op de bank heeft gezeten.,2025-03-30 15:45:00+00:00,1,https://nitter.net/fctwente/status/1906371131709292895,https://nitter.net/twentefanrsd/status/1906371962852565466#m,@twentefanrsd,Ik vind het wel grappig hoe een vlap en Oosting tegen deze wedstrijd aankeken. Twente was volgens hun dominant en creëerde genoeg kansen. Volgens Oosting verdiende ze ook meer. Was er bij ESPN een andere wedstrijd opgezet dan in het stadion te zien was?,M076_fctwente,@fctwente
@twentefanrsd,Was hij op zijn laptop een potje fifa aan het spelen tegen Heracles. Dan verklaard het wel een beetje.,2025-03-30 15:49:00+00:00,0,https://nitter.net/fctwente/status/1906371131709292895,https://nitter.net/twentefanrsd/status/1906371962852565466#m,@twentefanrsd,Ik vind het wel grappig hoe een vlap en Oosting tegen deze wedstrijd aankeken. Twente was volgens hun dominant en creëerde genoeg kansen. Volgens Oosting verdiende ze ook meer. Was er bij ESPN een andere wedstrijd opgezet dan in het stadion te zien was?,M076_fctwente,@fctwente
@ilma_nl,Tja ik dacht hetzelfde,2025-03-30 15:57:00+00:00,0,https://nitter.net/fctwente/status/1906371131709292895,https://nitter.net/twentefanrsd/status/1906371962852565466#m,@twentefanrsd,Ik vind het wel grappig hoe een vlap en Oosting tegen deze wedstrijd aankeken. Twente was volgens hun dominant en creëerde genoeg kansen. Volgens Oosting verdiende ze ook meer. Was er bij ESPN een andere wedstrijd opgezet dan in het stadion te zien was?,M076_fctwente,@fctwente
@RDVRontour,"Dat was mijn idee ook. Hij begint steeds meer op Schreuder te lijken, die zag ook vaak goede dingen  die er niet waren.",2025-03-30 16:04:00+00:00,0,https://nitter.net/fctwente/status/1906371131709292895,https://nitter.net/twentefanrsd/status/1906371962852565466#m,@twentefanrsd,Ik vind het wel grappig hoe een vlap en Oosting tegen deze wedstrijd aankeken. Twente was volgens hun dominant en creëerde genoeg kansen. Volgens Oosting verdiende ze ook meer. Was er bij ESPN een andere wedstrijd opgezet dan in het stadion te zien was?,M076_fctwente,@fctwente
@19AM76P,Grappig ja? Om te janken🥲,2025-03-30 21:00:00+00:00,0,https://nitter.net/fctwente/status/1906371131709292895,https://nitter.net/twentefanrsd/status/1906371962852565466#m,@twentefanrsd,Ik vind het wel grappig hoe een vlap en Oosting tegen deze wedstrijd aankeken. Twente was volgens hun dominant en creëerde genoeg kansen. Volgens Oosting verdiende ze ook meer. Was er bij ESPN een andere wedstrijd opgezet dan in het stadion te zien was?,M076_fctwente,@fctwente
@honestmarcel38,De betere? Heracles was Twente volledig de baas! Tijd voor alweee een grote schoonmaak,2025-03-30 15:10:00+00:00,0,https://nitter.net/fctwente/status/1906361676863000763,https://nitter.net/lsn891120/status/1906362889268592951#m,@lsn891120,En dan ook nog een trainer die geen zelfkennis heeft. Dat ze de betere waren vandaag hahahaa wat een grap,M076_fctwente,@fctwente
@ddrop37,Anjing lu norak bodoh,2025-03-31 06:47:00+00:00,0,https://nitter.net/fctwente/status/1906361676863000763,https://nitter.net/valangdika/status/1906558794110267440#m,@valangdika,"Mampus, kayak gini aja musti bohong sih",M076_fctwente,@fctwente
@cipunkk16,Tolol,2025-03-31 08:40:00+00:00,0,https://nitter.net/fctwente/status/1906361676863000763,https://nitter.net/valangdika/status/1906558794110267440#m,@valangdika,"Mampus, kayak gini aja musti bohong sih",M076_fctwente,@fctwente
@calelundapiw_,Valdy valdy fomo tolol,2025-03-31 14:01:00+00:00,0,https://nitter.net/fctwente/status/1906361676863000763,https://nitter.net/valangdika/status/1906558794110267440#m,@valangdika,"Mampus, kayak gini aja musti bohong sih",M076_fctwente,@fctwente
@ThomasLFC___,Want,2025-03-30 14:31:00+00:00,1,https://nitter.net/fctwente/status/1906353141123022958,https://nitter.net/kasbuipers/status/1906353350687297710#m,@kasbuipers,#oostingout,M076_fctwente,@fctwente
@kasbuipers,Als je dat niet kan zien ben je blind. Wat is dit een afgang zeg,2025-03-30 14:32:00+00:00,1,https://nitter.net/fctwente/status/1906353141123022958,https://nitter.net/kasbuipers/status/1906353350687297710#m,@kasbuipers,#oostingout,M076_fctwente,@fctwente
@FCVF_7,Volgend jaar geen Europees...,2025-03-30 14:35:00+00:00,1,https://nitter.net/fctwente/status/1906353141123022958,https://nitter.net/maestorovic/status/1906354063723135288#m,@maestorovic,Zie het resterende programma en de tranen springen je in de ogen met deze slappe bende.,M076_fctwente,@fctwente
@maestorovic,Hebben we ook echt helemaal niets te zoeken op deze manier,2025-03-30 14:36:00+00:00,0,https://nitter.net/fctwente/status/1906353141123022958,https://nitter.net/maestorovic/status/1906354063723135288#m,@maestorovic,Zie het resterende programma en de tranen springen je in de ogen met deze slappe bende.,M076_fctwente,@fctwente
@thysholdyk,Niemand gaat dit zooitje aan de praat krijgen,2025-03-30 14:09:00+00:00,0,https://nitter.net/fctwente/status/1906347613147766794,https://nitter.net/FlakyShepherd/status/1906347747323552155#m,@FlakyShepherd,"Nu optieven met Kneusting, die lijpe loet kan ook echt helemaal niks",M076_fctwente,@fctwente
@M4DR1D1ST4_1902,"Minder dat niks 
Geen fatsoenlijke kans gehad in een uur",2025-03-30 13:55:00+00:00,0,https://nitter.net/fctwente/status/1906339755119260077,https://nitter.net/laan_joop/status/1906340451566674147#m,@laan_joop,Het is weer niks,M076_fctwente,@fctwente
@timjahnig,Youri Regeer is een enorm gemis.,2025-03-30 13:30:00+00:00,1,https://nitter.net/fctwente/status/1906335870573215837,https://nitter.net/RDVRontour/status/1906337158559932423#m,@RDVRontour,"Het is om je kapot te schamen. 1-0 achter en 9 man op 30 meter van je eigen achterlijn. En maar breed en terug, ongelofelijk @fctwente . #HerTwe",M076_fctwente,@fctwente
