timestamp,tweet,link,comments
2025-04-12 18:05:00+00:00,"Handen hoog voor rood en wit 🙌

Kameraden, bedankt dat jullie weer massaal mee waren vandaag!

#forfey",https://nitter.net/Feyenoord/status/1911118378221052000#m,2
2025-04-12 18:02:00+00:00,"🔟9️⃣8️⃣7️⃣6️⃣5️⃣4️⃣3️⃣2️⃣1️⃣

Komen wij uit Rotterdam?!

#forfey",https://nitter.net/Feyenoord/status/1911117723473502480#m,5
2025-04-12 17:45:00+00:00,"Clean sheet again 🗣️

#forfey",https://nitter.net/Feyenoord/status/1911113397913178439#m,1
2025-04-12 17:40:00+00:00,"Winning mood 🔴⚪️⚫️

#forfey",https://nitter.net/Feyenoord/status/1911112106017231148#m,2
2025-04-12 16:58:00+00:00,You’ll never walk alone… ♥️,https://nitter.net/Feyenoord/status/1911101654369251417#m,14
2025-04-12 16:49:00+00:00,"Namens de hele Feyenoord-familie:

Rust in vrede, Don Leo",https://nitter.net/Feyenoord/status/1911099308511998306#m,8
2025-04-12 16:30:00+00:00,"Five @eredivisie wins in a row! 🖐️

#forfey",https://nitter.net/Feyenoord/status/1911094563474935881#m,6
2025-04-12 16:19:00+00:00,"Red card Fortuna Sittard: Michut 🟥

85’ #forfey 0-2",https://nitter.net/Feyenoord/status/1911091917812641989#m,4
2025-04-12 16:13:00+00:00,"Go Gijs!

78' #forfey 0-2",https://nitter.net/Feyenoord/status/1911090244318871938#m,1
2025-04-12 16:10:00+00:00,"Osman = 🔛

#forfey 0-2",https://nitter.net/Feyenoord/status/1911089623775785158#m,1
2025-04-12 16:08:00+00:00,"MODER’S MINUTES ⏱️

58’ 0-1
65’ 0-2 

#forfey",https://nitter.net/Feyenoord/status/1911089093775159498#m,7
2025-04-12 16:00:00+00:00,"MODER AGAIN: 0-2!

#forfey",https://nitter.net/Feyenoord/status/1911087057268531265#m,5
2025-04-12 15:58:00+00:00,"Penalty Feyenoord! 

63’ #forfey 0-1",https://nitter.net/Feyenoord/status/1911086474193150344#m,5
