text,lang,offensive_manual,abusive_manual
Bij jou thuis worden geen grapjes gemaakt zo te lezen.,nl,0,0
Gecondoleerd,nl,0,0
Buitenspel kan niet. Krastev staat achter de bal. Bij een corner buitenspel?,nl,0,0
"In iedere linie moet er eigenlijk nog wel wat bij. Maar goed, ik verwacht dat je op 31 augustus tot en met 2 september goed zaken kan doen met de Engelse clubs.",nl,0,0
"Kansloze wedstrijd, maar Paixao blijft vrolijk lachen. Middelmaat met een slechte mentaliteit.",nl,0,0
Waarom moet die muziek zo tyfus hard. Een gehoorbeschadiging heb ik al. Een paar decibel minder kan en mag ook.,nl,1,0
"Zo dramatisch, ongekend",nl,0,0
"Nu al zin in JJ zijn interview, mijn hemel wat een treurnis",nl,1,0
Ik heb het gevoel dat er bij PSV niet meer wordt getraind om van de 2e lijn uit te halen. Bijna nooit dat het daar gevaarlijk wordt.,nl,0,0
"Hoopvol begin, inzinking, geen prijzen, seizoen vol teleurstelling en gemiste kansen.",nl,0,0
De waren gewoon toch posities over? Hartman gewoon de beste linksback die we hebben.,nl,0,0
Wat is er aan de hand met dit PSV?,nl,0,0
4 wisselmomenten? Ik dacht dat dat bij 3 moest blijven,nl,0,0
Wat een drama weer net als vorig seizoen,nl,1,0
Goede actie van De Jong,nl,0,0
"Een jongen uit Rotterdam Charlois.
Wat een carrierre.
Wat een personality.
Don Leooo bedankt.",nl,0,0
Moeizame zege,nl,0,0
"Steken alleen de handen uit, dit slaat echt nergens meer op hoor 🤣",nl,0,0
Ajax liefde van mn leven,nl,0,0
We hadden Akpom niet nodig!,nl,0,0
Free game telegram link in bio,nl,0,0
"Krastev, buitink, manu, reiziger inbrengen 2e helft🙏🙏",nl,0,0
"Het is om je kapot te schamen. 1-0 achter en 9 man op 30 meter van je eigen achterlijn. En maar breed en terug, ongelofelijk @fctwente . #HerTwe",nl,1,0
De cadeau was geen rood lekker oprotten,nl,1,0
"Jullie blijven op CL niveau acteren, heel gaaf.",nl,0,0
Kolere wat spannend,nl,0,0
"Wat moet je daartegen doen? Het kwaad is al geschied. Wat er allemaal werd gezegd was ronduit gênant, maar niet iets waarmee justitie Verbeek/Willaert kan vervolgen. Die 2 kunnen op z'n best hun excuses aanbieden, maar wat is dat waard als dit op aandringen van Groningen komt?",nl,0,0
Gaat weer lekker vandaag.....,nl,0,0
Buitenspel,nl,0,0
Kap is met dat opbouwen van achteruit man. Gewoon de lange bal op Luuk en Drouich brengen voor Peresic die heeft geen snelheid.,nl,0,0
Espn is een echt Feyenoord kanaal. Samenwerking met Vi en Ad. Vaak gasten als Krabbendam goukos etc.,nl,0,0
Anders sturen jullie nog ff een oud filmpje van een vorige ontmoeting.. was tegen nac al het geval en nu weer,nl,0,0
Yees stejin goodluck 🔥🔥,nl,0,0
Zo dom dit ook weer. Niemand die dat ooit zei. Maar leuk dat je grappig wilt zijn!,nl,1,0
Commentator nog net niet aan het huilen,nl,1,0
Dat was een mispeer.,nl,0,0
Dat was mij ook gelukt,nl,1,0
