match_id,round,date,time,home_team,away_team,home_handle,away_handle,trigger_types,red_card,controversie,player_error,scrape_start_utc,scrape_end_utc
M001,1,9 augustus 2024,20:00,FC Groningen,NAC Breda,@fcgroningen,@NACnl,No,Yes,Yes,No,2024-08-08T18:00:00+00:00,2024-08-10T06:00:00+00:00
M002,1,10 augustus 2024,20:00,Almere City FC,AZ,@AlmereCityFC,@AZAlkmaar,No,Yes,No,No,2024-08-09T18:00:00+00:00,2024-08-11T06:00:00+00:00
M003,2,17 augustus 2024,21:00,RKC Waalwijk,FC Groningen,@RKCWAALWIJK,@fcgroningen,No,Yes,No,No,2024-08-16T19:00:00+00:00,2024-08-18T07:00:00+00:00
M004,3,24 augustus 2024,18:45,NEC,PEC Zwolle,@necnijmegen,@PECZwolle,No,Yes,No,No,2024-08-23T16:45:00+00:00,2024-08-25T04:45:00+00:00
M005,3,24 augustus 2024,21:00,NAC Breda,FC Utrecht,@NACnl,@fcutrecht,No,Yes,No,No,2024-08-23T19:00:00+00:00,2024-08-25T07:00:00+00:00
M006,3,25 augustus 2024,14:30,Sparta,Feyenoord,@SpartaRotterdam,@Feyenoord,Derby/Rivalry Match,Yes,No,No,2024-08-24T12:30:00+00:00,2024-08-26T00:30:00+00:00
M007,3,25 augustus 2024,16:45,Go Ahead Eagles,RKC Waalwijk,@GAEagles,@RKCWAALWIJK,No,Yes,No,No,2024-08-24T14:45:00+00:00,2024-08-26T02:45:00+00:00
M008,3,18 september 2024,20:00,Ajax,Fortuna Sittard,@AFCAjax,@FortunaSittard,No,Yes,No,No,2024-09-17T18:00:00+00:00,2024-09-19T06:00:00+00:00
M009,4,30 augustus 2024,20:00,RKC Waalwijk,AZ,@RKCWAALWIJK,@AZAlkmaar,No,Yes,No,No,2024-08-29T18:00:00+00:00,2024-08-31T06:00:00+00:00
M010,4,30 oktober 2024,18:00,Feyenoord,Ajax,@Feyenoord,@AFCAjax,Derby/Rivalry Match,No,No,No,2024-10-29T17:00:00+00:00,2024-10-31T05:00:00+00:00
M011,5,14 september 2024,16:30,PSV,NEC,@PSV,@necnijmegen,No,Yes,No,No,2024-09-13T14:30:00+00:00,2024-09-15T02:30:00+00:00
M012,5,14 september 2024,21:00,AZ,SC Heerenveen,@AZAlkmaar,@scHeerenveen,Rivalry Match,No,No,No,2024-09-13T19:00:00+00:00,2024-09-15T07:00:00+00:00
